"","modified","scientific_name","common_name"
"15","moxostoma","Moxostoma",NA
"36","thymallusarcticus","Thymallus arcticus",NA
"40",NA,"Calochortus persistens","SISKIYOU MARIPOSA LILY"
"41",NA,"Astragalus cusickii var. packardiae","PACKARDS MILKVETCH"
"42",NA,"Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS"
"43",NA,"Erigeron basalticus","BASALT DAISY"
"44",NA,"Pseudanophthalmus major","BEAVER CAVE BEETLE"
"45",NA,"Synthyris ranunculina","CHARLESTON KITTENTAILS"
"46",NA,"Astragalus oophorus clokeyanus","CLOKEY'S EGGVETCH"
"47",NA,"Rana luteiventris","COLUMBIA SPOTTED FROG - GREAT BASIN DPS"
"48",NA,"Rana luteiventris","COLUMBIA SPOTTED FROG - WASATCH FRONT POPULATION"
"49",NA,"Rana luteiventris","COLUMBIA SPOTTED FROG - WEST DESERT POPULATION"
"50",NA,"Polyctenium williamsiae","COMBLEAF"
"51",NA,"Gila bicolor vaccaceps","COW HEAD TUI CHUB"
"52",NA,"Downingia concolor brevior","CUYAMAC LAKE DOWNINGIA"
"53",NA,"Cymopterus deserticola","DESERT CYMOPTERUS"
"54",NA,"Pyrgulopsis notidicola","ELONGATE MUD MEADOW SPRINGSNAIL"
"55",NA,"Ursus americanus floridanus","FLORIDA BLACK BEAR"
"56",NA,"Boechera pusilla","FREMONT COUNTY ROCK CRESS"
"57",NA,"Dalea tentaculoides","GENTRY'S INDIGOBUSH"
"58",NA,"Symphyotrichum georgianum","GEORGIA ASTER"
"59",NA,"Penstemon grahamii","GRAHAM BEARDTONGUE"
"60",NA,"Centrocercus urophasianus","GREATER SAGE-GROUSE - BI-STATE POPULATION"
"61",NA,"Centrocercus urophasianus","GREATER SAGE-GROUSE - Columbia basin DPS"
"62",NA,"Centrocercus urophasianus","GREATER SAGE-GROUSE -Wherever found"
"63",NA,"Cicindelidia highlandensis","HIGHLANDS TIGER BEETLE"
"64",NA,"Pseudanophthalmus holsingeri","HOLSINGER'S CAVE BEETLE"
"65",NA,"Stygobromus kenki","KENK'S AMPHIPOD"
"66",NA,"Polites mardon","MARDON SKIPPER"
"67",NA,"Clarkia lingulata","MERCED CLARKIA"
"68",NA,"Cordylanthus nidularius","MT. DIABLO BIRDÍS-BEAK"
"69",NA,"Ambrysus funebris","NEVARES SPRING NAUCORID BUG (=FURNACE CREEK)"
"70",NA,"Coccoloba rugosa","NO COMMON NAME"
"71",NA,"Hazardia orcuttii","ORCUTTS'S HAZARDIA"
"72",NA,"Sidalcea covillei","OWENS VALLEY CHECKERMALLOW"
"73",NA,"Limnanthes gracilis parishii","PARISH'S MEADOWNFOAM"
"74",NA,"Lithobates subaquavocalis","RAMSEY CANYON LEOPARD FROG"
"75",NA,"Abronia alpina","RAMSHAW MEADOWS SAND-VERBANA"
"76",NA,"Collomia rawsoniana","RAWSONÍS FLAMING TRUMPET"
"77",NA,"Lotus argophyllus adsurgens","SAN CLEMENTE ISLAND SILVER HOSACKIA"
"78",NA,"Chorizanthe parryi var fernandina","SAN FERNANDO VALLEY SPINEFLOWER"
"79",NA,"Euphilotes pallescens arenamontana","SAND MOUNTAIN BLUE BUTTERFLY"
"80",NA,"Dudleya blochmaniae insularis","SANTA ROSA ISLAND DUDLEYA"
"81",NA,"Dudleya blochmaniae brevifolia","SHORT-LEAVED DUDLEYA"
"82",NA,"Moxostoma sp 2","SICKLEFIN REDHORSE"
"83",NA,"Dudleya sp.","SP. NOV. INED. (MUNCHKIN) DUDLEYA"
"84",NA,"Paysonia stonensis","STONES RIVER BLADDERPOD"
"85",NA,"Eriogonum argophyllum","SULPHUR SPRINGS BUCKWHEAT"
"86",NA,"Cirsium rhothophilum","SURF THISTLE"
"87",NA,"Vulpes velox","SWIFT FOX"
"88",NA,"Rorippa subumbellata","TAHOE YELLOW CRESS"
"89",NA,"Castilleja elongata","TALL PAINTBRUSH"
"90",NA,"Delphinium variegatum thornei","THORNEÍS ROYAL LARKSPUR"
"91",NA,"Calochortus umpquaensis","UMPQUA MARIPOSA LILY"
"92",NA,"Polemonium pectinatum","WASHINGTON JACOB'S-LADDER"
"93",NA,"Nysius wekiuicola","WEKIU BUG"
"94",NA,"Delphinium viridescens","WENATCHEE LARKSPUR"
"95",NA,"Synthliboramphus hypoleucus","XANTUS'S MURRELET"
"96",NA,NA,NA
"97",NA,NA,NA
