,X,scientific_name,common_name,new_notes_on_changes_being_made,conservation_plan_1,conservation_plan_2,conservation_plan_3,sum_part,all_partner_names,coop,total,year_listed_or_precluded,Federal.Listing.Status.x.x.x,Year.listed.x.x,Species.Group.x.x,Regions.of.Occurrence.x.x,U.S..or.Foreign.Listed.x.x,Vertebrate.invertebrate.plant.x.x,hab.x.x,over.x.x,poll.x.x,spsp.x.x,env.x.x,demo.x.x,total.x.x,threats.addressed.by.conservation.x.x,threats.addressed.by.regulation..1...yes..0...no..x.x,n_counties.x,countynames.x,counties_fips_final.x,area.x,area_weighted_footprint_2009,area_weighted_footprint_1993,area_weighted_built2009,area_weighted_built1994,area_weighted_crops2005,area_weighted_crops1992,area_weighted_navwater2009,area_weighted_navwater1994,area_weighted_lights2009,area_weighted_lights1994,area_weighted_pasture2009,area_weighted_pasture1993,area_weighted_pop2010,area_weighted_pop1990,change_footprint_area_weighted,change_built_area_weighted,change_navwater_area_weighted,change_lights_area_weighted,change_pasture_area_weighted,change_population_area_weighted,landvalue,totalemployment,employmentsumrelevant,employmentconstruction,employmentforest,employmentmining,employmentfarm,percapitaincome,incomerelevant,incomeconstruct,incomeforest,incomemining,incomefarm,percentpublic,percentprivate,percentfederal
1,54,Aliciella caespitosa,WONDERLAND ALICE-FLOWER,NA,CCA,NA,NA,4_NA_NA,"USFS, NPS,  Utah State Office, USFWS, BLM",0,5,9/12/2006,Precluded,2006,Flowering Plants,6,US,P,1,0,0,0,0,1,2,NA,0,1,Wayne,49055,6374158879,3.218987717,3.149190963,0,0,0.105876792,0,0.048366873,0.048366873,0.019379234,0.022687884,2.217268001,2.250039389,0,0,0.069796754,0,0,-0.00330865,-0.032771388,0,2731,1769,NA,180,NA,18,173,25288,NA,5486,NA,-640,2900,0.975858178,0,0.963801793
2,2,Allium gooddingii,GOODING'S ONION,NA,CCA,NA,NA,1_NA_NA,USFS,0,1,10/25/1999,Precluded,1999,Flowering Plants,2,US,P,1,0,0,0,0,0,1,Habitat modification,1,8,"Apache, Greenlee, Pima, Catron, Lincoln, Mckinley, Otero, San Juan","04001, 04011, 04019, 35003, 35027, 35031, 35035, 35045",1.33546E+11,4.480436624,4.228151657,0.190558164,0.192815149,0.029190913,0.003345059,0,0,0.304820525,0.295403922,1.678528386,1.686008503,0.837246717,0.837246717,0.252284968,-0.002256985,0,0.009416603,-0.007480116,0.837246717,354.2361967,111934.2534,13273.94984,9751.081356,241.4412815,1671.421086,1610.006115,26948.63596,545994.4141,408195.1101,2374.098849,131429.2341,3995.970991,0.529177054,2.32E-05,0.484783142
3,34,Ambrysus funebris,NEVARES SPRING NAUCORID BUG (=FURNACE CREEK),NA,None,NA,NA,3_NA_NA,"Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, NPS",0,3,10/8/2015,Precluded,2015,Insects,8,US,I,1,0,0,0,0,0,1,Habitat modification,1,1,Inyo,6027,26368508430,1.303071744,1.315342606,0.013174239,0.028606918,0.008958482,0.002107878,0,0,0.035081116,0.052922799,0.163849889,0.163774608,0.13189295,0.13189295,-0.012270862,-0.01543268,0,-0.017841683,7.53E-05,0.13189295,951,10595,785,615,58,37,75,40309,44636,29660,261,9357,5358,0.959190351,0,0.915930126
4,25,Astragalus anserinus,GOOSE CREEK MILKVETCH,NA,None,NA,NA,2_NA_NA,"BLM, USFWS","U.S. Fish and Wildlife Service, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, National Park Service, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, Forest Service",2,10/8/2015,Precluded,2015,Flowering Plants,"1, 6, 8",US,P,0,0,0,1,0,0,1,Species-Species interaction,1,3,"Cassia, Elko, Box Elder","16031, 32007, 49003",65993948162,4.335729342,3.772267311,0.071861079,0.075248201,0.711743869,0.087817298,0.007974225,0.007974225,0.15451972,0.14047166,2.02400542,2.210584708,0.241547406,0.241547406,0.563462031,-0.003387123,0,0.01404806,-0.186579288,0.241547406,581.8584201,25592.64323,4072.876538,1707.210113,241.0296526,1595.072337,529.5644345,33726.45457,249637.926,87927.4199,5108.969149,129675.3097,26926.22722,0.808947585,0,0.760080242
5,3,Astragalus cusickii var. packardiae,PACKARDS MILKVETCH,NA,None,NA,NA,1_2_NA,BLM,0,1,12/5/2014,Precluded,2014,Flowering Plants,1,US,P,1,0,0,0,0,0,1,Habitat modification,1,2,"Payette, Gem","16075, 16045",2503649630,9.308468352,9.122577713,0.308277262,0.497986346,1.128600515,0.978682951,0.401464639,0.401464639,0.624419706,0.926838496,1.75503859,1.804059764,2.518495996,2.518495996,0.185890639,-0.189709084,0,-0.30241879,-0.049021174,2.518495996,2489.510637,8129.24479,NA,759.1605029,NA,NA,703.8072343,27447.44777,NA,22372.39825,NA,NA,10845.08162,0.580853124,0,0.563998932
6,14,Astragalus oophorus clokeyanus,CLOKEY'S EGGVETCH,NA,HCP,CCA,NA,3_10_NA,"Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City",0,11,4/2/1998,Precluded,1998,Flowering Plants,8,US,P,1,0,0,1,0,0,2,NA,0,2,"Clark, Nye","32003, 32023",67530220378,4.519088199,4.095650583,0.321687718,0.287583514,0.008130664,0.000101126,0.019939092,0.019939092,0.446606206,0.412198902,2.102144532,2.105827642,0.430270619,0.430270619,0.423437616,0.034104204,0,0.034407304,-0.00368311,0.430270619,1815.880833,367741.118,37861.02195,36222.54639,140.1538222,1346.176369,152.1453673,33527.89298,2423377.847,2371405.607,557.9010476,38556.30358,12858.03472,0.919304277,0,0.915999596
7,1,Calochortus persistens,SISKIYOU MARIPOSA LILY,NA,None,NA,NA,2_NA_NA,"USFS,BLM",0,2,10/8/2015,Precluded,2015,Flowering Plants,"1, 8",US,P,0,0,0,1,0,0,1,Generic reduce stressors,1,8,"Jackson, Humboldt, Siskiyou, Del Norte, Shasta, Josephine, Trinity, Klamath","41029, 06023, 06093, 06015, 06089, 41033, 06105, 41035",72965999566,3.666848853,3.806711954,0.139292269,0.205922738,0.011668689,0.263853863,0.101337907,0.101337907,0.252223817,0.343633626,0.183574833,0.161106824,1.354888528,1.354888528,-0.139863102,-0.066630469,0,-0.091409809,0.022468009,1.354888528,3100.296444,48780.20366,5702.551378,3541.041396,1068.771112,165.1894289,927.5494412,30052.66434,218933.2917,160767.0008,29756.06066,5513.187005,22897.04326,0.591249816,5.04E-05,0.571070303
8,48,Calochortus umpquaensis,UMPQUA MARIPOSA LILY,NA,CCA,NA,NA,3_NA_NA,"USDA, USFWS, BLM",0,3,10/25/1999,Precluded,1999,Flowering Plants,1,US,P,1,0,0,1,0,0,2,"Habitat modification, species-species interaction",1,3,"Douglas, Jackson, Josephine","41019, 41029, 41033",24494886848,4.883054284,5.026783629,0.222749658,0.312856196,0.000851527,0.213157864,0.159190071,0.159190071,0.423158216,0.516770614,0.437671205,0.385105329,2.047743828,2.047743828,-0.143729345,-0.090106538,0,-0.093612398,0.052565876,2.047743828,5062.71071,70857.19525,8884.963914,5056.839007,1820.742168,233.3077966,1774.074943,30720.23144,283941.2376,208032.7451,63560.11153,6429.123349,5919.257625,0.629248511,0.0001539,0.618226667
9,13,Castilleja christii,CHRISTÕS PAINTBRUSH,NA,CCA,NA,NA,2 or 3_NA_NA,"USFS,  USFWS",0,2,11/21/2012,Precluded,2012,Flowering Plants,1,US,P,1,0,0,1,0,0,2,NA,1,1,Cassia,16031,6644895767,5.5722643,4.27998187,0.077623526,0.056724884,1.809822362,0.665621735,0.079196216,0.079196216,0.252425735,0.179728318,1.417525004,1.686669652,0.292133154,0.292133154,1.29228243,0.020898642,0,0.072697418,-0.269144648,0.292133154,1664,13594,1928,757,474,166,531,30713,194758,25847,13003,5951,149957,0.59440453,0,0.579544396
10,16,Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,NA,HCP,NA,NA,4_NA_NA,"Utah Division of Parks and Recreation, BLM, USFWS, Kane County",0,4,10/2/2013,Precluded,2013,Insects,6,US,I,1,1,0,0,0,0,2,Habitat modification,1,1,Kane,49025,10333912540,2.240742921,2.195211406,0.016933208,0.021636877,0.049388523,0.003292568,0.069015555,0.069015555,0.031514581,0.041768579,1.405832549,1.412888053,0.02060207,0.02060207,0.045531514,-0.004703669,0,-0.010253998,-0.007055503,0.02060207,1493,4498,NA,359,NA,20,118,29154,NA,10413,NA,-75,76,0.936868296,0,0.929203734
