Scientific name,Common name,Conservation Plan_1,type of agreements (source of information),,Who the partners are,number of conservation agreements,total number of partners for species
Calochortus persistens,SISKIYOU MARIPOSA LILY,,Conservation Agreement,,"USFS, BLM",1,2
Allium gooddingii,GOODING'S ONION,,CCA,,USFS,1,1
Astragalus cusickii var. packardiae,PACKARDS MILKVETCH,,Federal Listings,,BLM,1,1
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,,"CCAA,  Dillon Resource Management Plan,  Big Hole River Drought Management Plan",,"Montana Department of Fish Wildlife and Parks, USFWS,   BLM,  Montana Fish Wildlife and Parks (MFWP),  Montana Department of Natural Resources and Conservation (DNRC)",2,7
Cimicifuga arizonica,ARIZONA BUGBANE,,Conservation Agreement,,"USFS,  USFWS",1,2
Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,,CCA,,"USFS,  USFWS",1,2
Erigeron basalticus,BASALT DAISY,,None,,N/A,0,0
Pseudanophthalmus major,BEAVER CAVE BEETLE,,"A Partners Program 15-year Wildlife Habitat Enhancement Agreement,  CCRP,  WHIP,  LLC",,"Kentucky Ecological Services Field Office,  the owner of the Beaver Cave property,  Kentucky Department of Fish and Wildlife Resources (KDFWR),  Natural Resource Conservation Service (NRCS),  Farm Service Agency (FSA),  Kentucky State Nature Preserves Commission,  Kentucky Division of Forestry",4,7
Opuntia X multigeniculata,BLUE DIAMOND CHOLLA,,HCP,,BLM,1,7
Phacelia stellaris,BRAND'S PHACELIA,,"HCP,  CCA",,"California Department of Fish & Game, California Department of Forestry & Fire Protection, California Department of Parks & Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside U.S., BLM, USFWS, USFS, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks",2,21
Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,,CCA,,"Mississippi Army National Guard, USFS, Mississippi Department of Wildlife, Fisheries and Parks, USFWS",1,4
Synthyris ranunculina,CHARLESTON KITTENTAILS,,"HCP,  CCA",,"Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ",2,13
Castilleja christii,CHRISTÕS PAINTBRUSH,,CCA,,"USFS,  USFWS",1,2
Astragalus oophorus clokeyanus,CLOKEY'S EGGVETCH,,"HCP,  CCA",,"Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ",2,13
Rana luteiventris,COLUMBIA SPOTTED FROG - GREAT BASIN DPS,,None,,,0,0
Rana luteiventris,COLUMBIA SPOTTED FROG - WASATCH FRONT POPULATION,,None,,,0,0
Rana luteiventris,COLUMBIA SPOTTED FROG - WEST DESERT POPULATION,,None,,,0,0
Polyctenium williamsiae,COMBLEAF,,None,,N/A,0,0
Nerodia erythrogaster neglecta,COPPERBELLY WATER SNAKE,,"CCA,  Indiana Coal Mining Agreement",,"Indiana Coal Council, Indiana Department of Natural Resources, USFWS, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association;  Office of Surface Mining reclamation and Enforcement",1,12
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,,CCA,,"Utah Division of Parks and Recreation, BLM, FWS, Kane County",1,4
Gila bicolor vaccaceps,COW HEAD TUI CHUB,,Conservation Agreement,,"Cow Head Slough, California reach of Barrel Creek, California and Modoc County Cattlemen’s Associations, California Farm Bureau Federation, BLM, California Department of Fish and Game (CDFG).",1,8
Downingia concolor brevior,CUYAMAC LAKE DOWNINGIA,,CCA,,"California Department of Fish and Wildlife, Natural Heritage Division Endangered plant program",1,1
Cymopterus deserticola,DESERT CYMOPTERUS,,"HCP,  Integrated Natural Resources Management Plan For Edwards Air Force Base ",,,,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,,"CCAA,  CCAA",,"USFWS, BLM, Center of Excellence for Hazardous Materials Management, Natural Resources Conservation Service (NRCS), Texas A&M University, Texas Comptroller of Public Accounts, Texas Interagency Task Force on Economic Growth and Endangered Species, Texas Department of Agriculture, Texas Parks and Wildlife Department, Railroad Commission of Texas, University of Texas System - University Lands, Texas Farm Bureau, Texas Oil & Gas Association, Texas Royalty Council, Texas & Southwestern Cattle Raisers Association, Texas Wildlife Association, Texas Association of Business",2,18
Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,,CCA,,"California Department of Fish and Wildlife, USFS, Eagle Lake Ranger District, USFWS",1,4
Pyrgulopsis notidicola,ELONGATE MUD MEADOW SPRINGSNAIL,,Conservation Plan,,"Nevada Department of Wildlife, National Park Service (NPS) , BLM, USFWS, Nevada Natural Heritage Program (NNHP), The Nature Conservancy, and Desert Research Institute (DRI).",1,7
