"","Scientific.Name.x.x","Federal.Listing.Status.x.x.x","Year.listed.x.x","Common.name.x.x","Species.Group.x.x","Regions.of.Occurrence.x.x","U.S..or.Foreign.Listed.x.x","Vertebrate.invertebrate.plant.x.x","hab.x.x","over.x.x","poll.x.x","spsp.x.x","env.x.x","demo.x.x","total.x.x","threats.addressed.by.conservation.x.x","threats.addressed.by.regulation..1...yes..0...no..x.x","counties_fips_final.x","area.x","area_weighted_footprint_2009","area_weighted_footprint_1993","area_weighted_built2009","area_weighted_built1994","area_weighted_crops2005","area_weighted_crops1992","area_weighted_navwater2009","area_weighted_navwater1994","area_weighted_lights2009","area_weighted_lights1994","area_weighted_pasture2009","area_weighted_pasture1993","area_weighted_pop2010","area_weighted_pop1990","change_footprint_area_weighted","change_built_area_weighted","change_navwater_area_weighted","change_lights_area_weighted","change_pasture_area_weighted","change_population_area_weighted","counties_missing_nass","landvalue","missingemploymentvalues","missingcounties","totalemployment","employmentsumrelevant","employmentconstruction","employmentforest","employmentmining","employmentcounties","employmentfarm","percapitaincome","incomerelevant","incomeconstruct","incomeforest","incomemining","incomefarm","incomemissingentries","missingcounties_income"
"1","Abronia alpina","Precluded",2015,"Ramshaw Meadows sand-verbena","Flowering Plants","8","US","P",1,0,0,1,1,0,3,"Habitat modification; ""The conservation agreement addresses ongoing management needs of A. alpina and its habitat, including management or monitoring of past and present stressors that have been identified""","1","06107",12494838453,6.66790656554125,6.54343583662022,0.513701366142047,0.723016697291683,0.659343293121355,0.622433490452984,0,0,1.19916912998322,1.39090836462411,0.216185987057602,0.256051769593353,2.41727250938723,1.88879124390828,0.12447072892103,-0.209315331149636,0,-0.19173923464089,-0.039865782535751,0.52848126547895,0,8266,0,0,189082,35954,10608,20840,152,NA,4354,29415,2364373,572774,532058,5353,1254188,0,0
"7","Aliciella caespitosa","Precluded",2006,"Wonderland Alice-flower","Flowering Plants","6","US","P",1,0,0,0,0,1,2,NA,"0","49055",6374158879,3.21898771706239,3.14919096280294,0,0,0.105876792185284,0,0.0483668727232541,0.0483668727232541,0.0193792342839137,0.0226878840397038,2.21726800063022,2.25003938868757,0,0,0.0697967542594502,0,0,-0.0033086497557901,-0.0327713880573497,0,0,2731,1,0,1769,371,180,0,18,NA,173,25288,7746,5486,0,-640,2900,1,0
"8","Allium gooddingii","Precluded",1999,"Goodding's onion","Flowering Plants","2","US","P",1,0,0,0,0,0,1,"Habitat modification","1","35011, 35035, 35003, 35059, 04027, 04021, 35047, 04017, 35055, 35017, 35007, 04011, 04013, 35043, 04019, 35006, 35013, 35021, 04003, 35023, 35053, 35028, 35033, 35015, 04005, 35009, 35041, 04007, 04009, 35045, 35027, 35019, 35057, 35029, 35031, 35039, 04015, 04025, 04012, 35025, 35005, 35049, 04023, 04001, 35037, 35001, 35051, 35061",608390077130,4.91218654748177,4.49004407958124,0.239876316493183,0.223502532035239,0.100524952668088,0.027440625621945,0.0133253094215041,0.013771654860877,0.368279797834929,0.32707882558449,1.77810493155509,1.79453648976979,1.07323182807459,0.764870537907451,0.42214246790053,0.0163737844579432,-0.000446345439372924,0.0412009722504392,-0.016431558214699,0.308361290167139,0,1101.8692749722,35,0,148033.043761753,14311.4284372604,11915.8311772978,498.322978525401,928.334243506065,NA,968.940037931148,28063.3499949709,760862.914990284,641745.258580053,10570.5887874746,69303.1805603327,39243.887062424,35,0
"14","Ambrysus funebris","Precluded",2015,"Nevares Spring naucorid bug (=Furnace Creek)","Insects","8","US","I",1,0,0,0,0,0,1,"Habitat modification","1","06027",26368508430,1.30307174376771,1.31534260611798,0.0131742387172056,0.0286069183573606,0.00895848232769978,0.00210787819475289,0,0,0.0350811156698159,0.0529227989611172,0.163849888959988,0.16377460759589,0.145970564986638,0.131892949900252,-0.0122708623502701,-0.015432679640155,0,-0.0178416832913013,7.52813640980399e-05,0.014077615086386,0,951,0,0,10595,785,615,58,37,NA,75,40309,44636,29660,261,9357,5358,0,0
"35","Astragalus anserinus","Precluded",2015,"Goose Creek milkvetch","Flowering Plants","1, 6, 8","US","P",0,0,0,1,0,0,1,"Species-Species interaction","1","16031, 32007, 49003",65993948162,4.33572934205202,3.7722673111341,0.0718610785250236,0.0752482010455181,0.711743869128951,0.0878172980995996,0.00797422513636219,0.00797422513636219,0.154519720276821,0.140471660131628,2.02400541972325,2.21058470788791,0.357001217346987,0.241547405516186,0.56346203091792,-0.00338712252049443,0,0.0140480601451927,-0.186579288164663,0.115453811830801,0,581.858420104597,1,0,25592.6432343387,3910.46584396481,1707.21011297887,78.6189590175106,1595.07233744023,NA,529.564434528202,33726.4545721945,246195.398398151,87927.4198973033,1666.44158417898,129675.309692077,26926.2272245914,1,0
"38","Astragalus cusickii var. packardiae","Precluded",2014,"Packard's milkvetch","Flowering Plants","1","US","P",1,0,0,0,0,0,1,"Habitat modification","1","16075, 16045",2503649630,9.30846835182842,9.12257771282176,0.308277262059117,0.497986346403188,1.12860051542495,0.97868295114932,0.401464639002837,0.401464639002837,0.624419705917162,0.926838495973242,1.75503859049057,1.80405976435056,3.09561811535052,2.51849599578386,0.18589063900666,-0.189709084344072,0,-0.30241879005608,-0.0490211738599875,0.577122119566661,0,2489.51063715333,4,0,8129.2447895427,1462.96773728519,759.160502945055,0,0,NA,703.807234340134,27447.4477690215,33217.4798698234,22372.3982491052,0,0,10845.0816207182,4,0
"44","Astragalus oophorus clokeyanus","Precluded",1998,"Clokey's egg-vetch","Flowering Plants","8","US","P",1,0,0,1,0,0,2,NA,"0","32001, 32013, 32003, 32021, 32023, 32005, 32033, 32510, 32011, 32007, 32019, 32015, 32031, 32029, 32017, 32027, 32009",284329327067,3.99296154572333,3.68851867477484,0.138053597692966,0.132406967148452,0.164400144146103,0.0070651335959539,0.00473567497463031,0.00473567497463031,0.214060330505213,0.203767348204091,2.06788213182124,2.11817728557884,0.455628897047369,0.274165493911714,0.304442870948491,0.00564663054451445,0,0.0102929823011222,-0.0502951537575975,0.181463403135655,0,1094.99464383511,18,0,111169.071800853,11875.9114446104,10439.2727940313,53.9372758497093,1187.40117439597,NA,195.300200333453,33122.2172566848,769468.032045958,683723.354349026,397.82959943632,77935.797902342,7411.05019515409,18,0
"59","Boechera pusilla","Precluded",1999,"Fremont County rockcress","Flowering Plants","6","US","P",0,0,0,1,1,0,2,NA,"0","56013",23784954724,3.99630501074726,3.71759393602514,0.0541915044395348,0.0562757930718246,0.192588269623577,0.0711992996790196,0,0,0.136229105006461,0.111676184918087,2.18083288173746,2.21705781816666,0.412814206511318,0.241735795572971,0.27871107472212,-0.0020842886322898,0,0.024552920088374,-0.0362249364291998,0.171078410938347,0,916,0,0,24094,4486,1925,220,1077,NA,1264,33528,147183,76923,1893,63960,4407,0,0
"70","Calochortus persistens","Precluded",2015,"Siskiyou Mariposa lily","Flowering Plants","1, 8","US","P",0,0,0,1,0,0,1,"Generic reduce stressors","1","41029, 06023, 06093, 06015, 06089, 41033, 06105, 41035",72965999566,3.66684885266675,3.80671195438509,0.139292268772723,0.205922737952519,0.0116686890640357,0.263853863359661,0.101337906839374,0.101337906839374,0.252223817051262,0.343633625796554,0.183574832723248,0.161106824042606,1.60278286926637,1.35488852794372,-0.139863101718338,-0.0666304691797958,0,-0.0914098087452919,0.0224680086806421,0.247894341322652,0,3100.2964437427,8,0,48780.2036604152,5087.92909845734,3541.04139589987,536.427884321858,82.9103770630171,NA,927.549441172593,30052.6643404099,201366.064354556,160767.000804887,14934.8915708731,2767.12872294126,22897.0432558545,8,0
"71","Calochortus umpquaensis","Precluded",1999,"Umpqua mariposa Lily","Flowering Plants","1","US","P",1,0,0,1,0,0,2,"Habitat modification, species-species interaction","1","41063, 41013, 41005, 41007, 41035, 41049, 41029, 41051, 41001, 41003, 41047, 41023, 41011, 41043, 41037, 41069, 41045, 41057, 41039, 41061, 41019, 41009, 41027, 41025, 41041, 41033, 41021, 41017, 41053, 41065, 41055, 41071, 41015, 41059, 41031, 41067",248604328809,4.29246800570742,4.50557710232936,0.205796598660597,0.256083621154456,0.0709436550186394,0.35687604616397,0.0714856282124325,0.0714856282124325,0.364063147482225,0.427056991545946,0.994829995970687,0.979646660464177,1.25463638747595,1.08371556175464,-0.213109096621946,-0.0502870224938594,0,-0.0629938440637207,0.0151833355065095,0.170920825721302,0,2863.87491650228,19,0,43170.4990189736,4604.463996526,2839.67330161825,620.312661299014,96.1247872128157,NA,1048.35324639592,28846.2781569248,184534.045926749,137704.633883427,17061.1935739406,2722.50227644467,27045.716192937,19,0
