Scientific name,Common name,Conservation Plan_1,Conservation Plan_2,Conservation Plan_3,"PROGRAMS, JULIE NOTES (if conflicting with FWS program)",notes_contribute_Julie,notes_all,number of conservation agreements,total number of partners for spcies,type of agreements (source of information),Who the partners are,,,,Partners present?_CP1,notes_CP1,Partner identity CP1,partner activities CP1,CP1_docs,notes_CP2,Partners present? CP2,Partner identity _CP2 ,partner activities_CP2,CP2_docs,notes_CP3,Partners present? CP33,Partner identity _CP3,partner activities_CP3,CP3_docs
Calochortus persistens,SISKIYOU MARIPOSA LILY,,,,,,,1,2,Conservation Agreement,"USFS,BLM",,,,2,,"USFS,BLM","All Agencies agree to: ? Actively seek outside sources of funding and cooperate in cost sharing of habitat improvement projects, monitoring, long-term studies and similar actions specific to this Conservation Agreement, as funding allows. ? Coordinate as needed, to review and document activities conducted under this agreement, including new activities that are initiated as a result of adaptive management, and produce monitoring reports that will include the following: ? A review of each agency’s management actions that have been completed as part of this Conservation Agreement, Calochortus persistens (Siskiyou mariposa lily) Conservation Agreement 21 ? A review of the effectiveness of those management actions to reduce threats to the species, ? A review of the overall site conditions and status of the species, and ? A review of any new information. ? Initiate new actions (i.e., adaptively manage) based on the results of monitoring program review and interagency coordination. ? Conduct National Environmental Policy Act analysis for conservation actions, as appropriate. ? Secure a long-term research partner to conduct research and address conservation needs discussed in this Conservation Agreement. The USFS agrees to: Reduce or remove existing threats to Calochortus persistens habitat on USFS lands. A. The present or threatened destruction, modification, or curtailment of its habitat or range 1) Competition with Nonnative Invasive Weeds ? Survey plant population areas in order to determine where Isatis tinctoria and any other noxious weed species occur. ? Design and implement test plots to monitor the effect of different weed removal treatments (i.e., pulling, cutting, and herbicides) on I. tinctoria density. ? Implement weed removal treatments along roads, in fuel breaks, around communication sites, and in other areas adjacent to the existing Calochortus persistens populations in order to reduce the invasion pressure of weeds on the habitat. ? Using the results of the test plots, analyze and implement weed removal treatments within C. persistens populations that will most effectively reduce I. tinctoria density, while not damaging C. persistens plants. ? Conduct a greenhouse study to determine whether I. tinctoria inhibits C. persistens reproduction and whether there is competition between I. tinctoria and C. persistens seedlings. Calochortus persistens (Siskiyou mariposa lily) Conservation Agreement 22 2) Fire Suppression and Succession ? Conduct field and aerial photograph studies to determine if shrub and conifer encroachment has occurred within Calochortus persistens habitat. ? If encroachment appears to be occurring, plan and conduct prescribed burn tests or small conifer hand-removal projects in those areas. ? Continue to coordinate with CAL FIRE to protect C. persistens in the State Responsibility Area agreement. ? Plan and implement fuel reduction test plots within portions of C. persistens habitat that will reduce the risk of high-intensity fire, shading, and competition. Continue prescribed burning if tests show it creates suitable habitat that is being colonized by C. persistens plants. Discontinue prescribed fire if tests show that this type of disturbance increases the density of Isatis tinctoria or other weeds. 3) Communication Site Construction, Maintenance, and Use ? Coordinate with Mahogany Point and Gunsight Peak Communication Site facility managers and tenants to ensure that communication site plan provisions to protect Calochortus persistens and manage noxious weeds are implemented. ? Coordinate with Gunsight Peak permittees to develop noxious weed management and operating plans; and to implement these plans along with Provision L, Protection of Habitat of Endangered, Threatened, and Sensitive Species; as required by the Gunsight Peak Special Use Permit. ? Coordinate with PPL to explore noxious weed treatment options in the transmission line right-of-way on Gunsight-Humbug Ridge and review methods to protect C. persistens plants from damage or destruction during maintenance operations. ? Explore the possibility of amending the two current authorizing permits for the PPL transmission line to include provisions for noxious weed management and protection of C. persistens plants during maintenance operations. ? When they expire, amend the two PPL transmission line operation authorizing permits to include provisions for noxious weed management and protection of C. persistens plants. 4) OHV and Other Recreational Use ? Survey and map all the existing OHV routes in order to determine where soil compaction within occupied Calochortus persistens habitat is occurring. ? Participate in the current OHV planning effort to avoid OHV use in the C. persistens Special Habitat Management Area. ? Install barriers and routing devices, where necessary, to prevent damage to C. persistens habitat. 5) Other Potential Management Impacts ? Maintain the existing roads in a manner that prevents weed invasion and minimizes damage to Calochortus persistens and its suitable habitat. Calochortus persistens (Siskiyou mariposa lily) Conservation Agreement 23 ? In timber stands adjacent to the C. persistens Special Habitat Management Area or occupied habitat in the Cottonwood Peak and Little Cottonwood Peak C. persistens population localities, design any proposed ground-disturbing activities in a manner that will prevent spread of Isatis tinctoria. C. Disease or predation ? Explore opportunities to design and implement a long-term monitoring plan (greater than 10 years) to determine the agent of herbivory on leaf and reproductive parts and whether herbivory significantly affects species viability. D. The inadequacy of existing regulatory mechanisms ? The existing regulatory mechanisms allow for conservation of the species. The prioritization of available funds needs to be elevated so that the conservations actions listed in the implementation schedule can be accomplished. E. Other natural or manmade factors affecting its continued existence ? Explore opportunities to design and implement a long-term (greater than 10 years) quantitative monitoring or demographic study to investigate the population dynamics of the species, including the pollination mechanism, seed viability and germination rate, and survival and mortality rates of the different life stages (seedling, juvenile, and adult). ? Explore opportunities to design and implement a long-term (greater than 10 years) monitoring study to determine the effects of the threats listed above, including Isatis tinctoria or any other noxious weed invasion, herbivory, shrub and conifer encroachment, and prescribed fire to the population dynamics of the species. Determine which of these threats can be ameliorated by land management actions. Monitoring As funding allows, design and implement a comprehensive monitoring plan to establish a current baseline for the size of the Calochortus persistens populations and for the extent and nature of existing threats. The monitoring plan also will be designed to test the effectiveness of different types of treatments used to improve C. persistens habitat and species viability and to address knowledge gaps. Monitoring will be conducted as needed, including monitoring of the effects of OHV and other recreational activities. a.) Baseline population size and demography Conduct an initial survey to map populations and determine existing population sizes and repeat this survey as needed. This initial survey has been completed and will serve as the baseline upon which to measure the effects of different habitat improvement projects that are employed in the future. Calochortus persistens (Siskiyou mariposa lily) Conservation Agreement 24 Baseline population levels were established from 2003 monitoring data for USFS lands on Gunsight-Humbug Ridge and 2007 data for USFS lands on Cottonwood and Little Cottonwood Peaks. A second monitoring survey was conducted on Gunsight-Humbug Ridge in 2009. b.) Isatis tinctoria encroachment Map the existing extent and severity of Isatis tinctoria encroachment periodically, or as changes occur, or if projects may affect habitat to guide weed treatment efforts. c.) Shrub and conifer encroachment Every five years, determine whether Calochortus persistens plants or conifers and shrubs have become established in areas that have been treated by prescribed fire or other fuel reduction methods. d.) OHV and other recreational impacts Periodically conduct surveys for impacts associated with OHV trespass in designated area closures. e.) Effectiveness monitoring Design and implement effectiveness monitoring as needed to determine if conservation actions are having a beneficial effect. f.) Monitoring summary Include the results of this monitoring in the KNF’s Annual LRMP Monitoring Report or other public documents. In addition, the effectiveness and appropriateness of the monitoring strategy will be reviewed as necessary, to determine whether changes are needed. Revisions may be required if new information or techniques become available. g.) Coordination Coordinate to review and document activities in a Monitoring Report. The BLM agrees to: Manage occupied Calochortus persistens habitat in a manner that is beneficial to the species. Population levels need to be maintained at stable or increasing levels to ensure that random natural variations in population sizes will have no effect on the future viability of C. persistens. Calochortus persistens (Siskiyou mariposa lily) Conservation Agreement 25 A. The present or threatened destruction, modification, or curtailment of its habitat or range OHV and Other Recreational Use ? Survey and map all the existing OHV routes in the vicinity of the Bald Mountain Calochortus persistens population to determine where adverse impacts to the species or its habitat are occurring. If a site assessment shows that there are OHV impacts to C. persistens or its habitat, install barriers around the Bald Mountain population to prevent damage to C. persistens. ? Close the area to OHV use if barriers are not effective or if OHV impacts to C. persistens habitat are extensive. B. Overutilization for commercial, recreational, scientific, or educational purposes ? Coordinate with the Service to write and implement a plan for seed storage. ? Coordinate with the Service to write and implement a plan to develop propagation techniques. ? Coordinate with the Service to prepare a population augmentation plan that specifies the conditions warranting introduction and guides the potential introduction of “off-site” Calochortus persistens plant material (seeds, bulbs, or plants) into currently occupied areas or for establishing new wild-land populations. E. Other natural or manmade factors affecting its continued existence ? Survey for additional Calochortus persistens populations in the vicinity of the known location. Document where previous surveys have been conducted to date. ? Coordinate with the Service to write and implement a plan for seed storage, as mentioned above in Section B. ? Coordinate with the Service to write and implement a plan to develop propagation techniques, as mentioned above in Section B. ? Coordinate with the Service to prepare a population augmentation plan that specifies the conditions warranting introduction and guides the potential introduction of “off-site” Calochortus persistens plant material (seeds, bulbs, or plants) into currently occupied areas or for establishing new wild-land populations, as mentioned above in Section B. Monitoring Continue to monitor the known location annually for: a.) Baseline population size and demography, b.) Noxious weed encroachment, and c.) OHV and other recreational impacts. Calochortus persistens (Siskiyou mariposa lily) Conservation Agreement 26 Coordinate with the Service and KNF to design and implement effectiveness monitoring and to review and report the results in a Monitoring Report. The Service agrees to: ? Provide technical assistance to the KNF and Medford District of the BLM in the implementation of this agreement, including the design of monitoring elements stated above. ? Coordinate with the KNF to conduct a greenhouse study to determine whether Isatis tinctoria inhibits Calochortus persistens reproduction and whether there is competition between I. tinctoria and C. persistens seedlings. ? Coordinate with the BLM to write and implement a plan for seed storage. ? Coordinate with the BLM to write and implement a plan to develop propagation techniques. ? Coordinate with the BLM to prepare a population augmentation plan that specifies the conditions warranting introduction and guides the potential introduction of “off-site” Calochortus persistens plant material (seeds, bulbs, or plants) into currently occupied areas or for establishing new wild-land populations. ? Reevaluate the status of Calochortus persistens annually and propose appropriate actions or modifications if the status changes. VII. Funding of Conservation Actions At the times of the signing of this conservation",,,,,,,,,,,
Allium gooddingii,GOODING'S ONION,,,,,,,1,1,CCA,USFS,,,,1,,USFS,maintaining the canopy cover and avoiding ground disturbance and erosion during timber harvesting activities in and near occupied sites,,,,,,,,,,,
Astragalus cusickii var. packardiae,PACKARDS MILKVETCH,,,,,,,1,1,Federal Listings?,BLM,,,,1,,BLM,restrict OHV access,,,,,,,,,,,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,,,,,,,3,7,"? CCAA, Dillon Resource Management Plan, Big Hole River Drought Management Plan (Assuming have all 3)","Montana Department of Fish, Wildlife and Parks, USFWS / In cooperation with Montana Department of Natural Resources and Conservation + USDA NRCS /// BLM /// Montana Fish, Wildlife and Parks (MFWP), Montana Department of Natural Resources and Conservation (DNRC)",,,,4,,"Between Montana Department of Fish, Wildlife and Parks + USFWS / In cooperation with Montana Department of Natural Resources and Conservation + USDA NRCS",X. OBLIGATIONS OF THE PARTNERS (pages 71-75),https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,RECORD OF DECISION AND APPROVED DILLON RESOURCE MANAGEMENT PLAN,1,BLM,entire document looks like BLM management plan,https://eplanning.blm.gov/epl-front-office/projects/lup/77497/103609/126835/ApprovedPlan.pdf,"in partnership with Montana Fish, Wildlife and Parks (MFWP) and Montana Department of Natural Resources and Conservation (DNRC)",2,"Montana Fish, Wildlife and Parks (MFWP), Montana Department of Natural Resources and Conservation (DNRC)","Big Hole Watershed Committee roles: v Educate interested and affected parties; v Develop, adopt, and modify the DMP annually; v Receive and act on information regarding stream conditions and snowpack levels throughout the year; v Notify interested and affected parties of implementation and secure support; and v Evaluate the environmental, social, and economic impacts of the plan. Montana Fish, Wildlife and Parks (MFWP), Montana Department of Natural Resources and Conservation (DNRC), and the United State Natural Resource Conservation Service (NRCS) roles: v Provide accurate, timely information regarding stream conditions and snowpack levels throughout the year; v Provide technical assistance in reviewing the plan and monitoring its implementation; v Ensure coordination of efforts among all affected government agencies; and v Provide public notice of MFWP actions for fishing restrictions, closures and re-opening",file:///C:/Users/stanley.RFF/Downloads/BHWC%20DMP%202016_FINAL.pdf
Cimicifuga arizonica,ARIZONA BUGBANE,,,,,,,1,2,Conservation Agreement,"USFS, USFWS",,,,2,,"USFS, USFWS","Forest Service Shall: 1. Have primary responsibility for implementation of specific conservation actions to protect and restore Arizona bugbane habitat and ensure that viable populations are maintained throughout its natural range on National Forest System lands. 1a. Monitor recreational use on selected high-use dates at Workman Creek and Lower West Fork sites. Map and monitor informal trail development within these populations. At any time, identify impacts which may result in the long-term detriment to the species, or compromise the viability of the site. Decisions regarding recreational use in the areas will be re-evaluated in order to reduce or remove these impacts. 1b. Decrease impacts of recreational activities that relate to long-term detriment to the species, or which compromise the viability of the site. Trails will be re-routed as necessary to reduce trampling of plants or soils. No new trails will be constructed within 100 feet of existing Arizona bugbane plants. 1c. Manage ungulate grazing and browsing so there is no long-term detriment to the species, nor compromising of the viability of the site. Long-term detriment will vary according to the attributes of each site, and will be determined by monitoring and coordination between the Forest Service and the Fish and Wildlife Service. Verify and maintain integrity of pasture fencing prior to livestock use of pastures near or containing Arizona bugbane. 1d. Provide appropriate buffers around timber harvest activities to maintain Arizona bugbane population integrity. Provide adjacent habitat sufficient to maintain the appropriate microenvironments for the species. 2. Conduct detailed monitoring (level 1) at each selected site as identified in the Forests' strategies (Bill Williams, James Canyon, Maple Springs, Upper West Fork, West Clear Creek, Workman Creek) every five years, on a rotating schedule. Monitor all other populations with broad sampling methods every five years, to be implemented on a rotating schedule. At Workman Creek and Lower West Fork, broad sampling protocol will be implemented each year when detailed monitoring is not done. 3. The corrected Kaibab National Forest Land Management Plan will be amended to incorporate the Standards and Guidelines outlined in the Arizona bugbane Conservation Assessment and Strategy on the Coconino and Kaibab National Forests for the Bill Williams Botanical Area (Management Area 6). After the new population in the Saddle Mountain Wilderness (Ecological Management Area 19) is inventoried and assessed, any additions or changes to the Kaibab National Forest Land Management Plan will be addressed, if necessary. Initiate incorporation of Standards and Guidelines outlined in Tonto National Forest Land and Resource Management Plan as soon as strategy is completed. 4. Evaluate establishment of special management areas such as Botanical Areas or Research Natural Areas, especially for Workman Creek. 5. Prepare Biological Assessments and Evaluations to determine effects of planned projects within existing populations or potential habitat of Arizona bugbane Retain Arizona bugbane as a Regional and Forest sensitive species. 6. Fully involve the Fish and Wildlife Service and appropriate State agencies as cooperators or partners throughout the National Environmental Policy Act process for all projects likely to affect Arizona bugbane or its habitat. 7. Determine the extent of Arizona bugbane on Bill Williams Mountain and North Canyon, in the Sierra Ancha Mountains, and in the Oak Creek and West Clear Creek population areas, and conduct surveys in other areas of potential habitat. 8. Evaluate opportunities for conservation easementsand/orland acquisition of additional important private inholdings of Arizona bugbane populations, if any become known. 9. Support studies and other scientific research to better understand the biology and ecology of the Arizona bugbane 10. Implement additional actions as detailed for the Coconino and Kaibab National Forests in tables 4 and 5 of their Conservation Assessment and Strategy, and for the Tonto National Forest within the action plan of their conservation assessment. Complete all appropriate National Environmental Policy Act compliance documentation. /// U.S. Fish and Wildlife Service Shall: 1. Provide technical assistance in the implementation of this Conservation Agreement and ensure adequate protection and management is occurring. 2. Assess listing Arizona bugbane under the Endangered Species Act if implementation of this agreement is not occurring, or if the conservation measures prove to be inadequate to protect the species or its habitat. Listing would follow the normal rulemaking process. 3. Become fully involved throughout the NEPA progress for all projects likely to affect Arizona bugbane or its habitat (reference #6 above). /// C. U.S. Forest Service and U.S. Fish and Wildlife Service Shall: 1. Work together to implement the Arizona Bugbane Conservation Agreement, to manage, protect, and restore the ecosystems upon which the Arizona bugbane and other species depend. 2. Ensure outyear budget needs and botanical staffing are programmed to facilitate implementation of the actions identified for the respective agencies. 3. Annually review implementation of the provisions of this agreement. Coordinate development of monitoring protocol, and sharing of data and information, conduct field reviews as needed, and provide recommendations to the Regional Forester and Regional Director on any proposed amendments to the Conservation Agreement. 4. Coordinate with appropriate State and Federal agencies on the implementation of wildlife management strategies within Arizona bugbane habitat. Provide survey and site specific data to the Arizona Game and Fish Department Heritage Data Management System. 5. Each agency has administrative responsibilities to oversee the implementation of the Arizona Bugbane Conservation Agreement. The implementation of the Arizona Bugbane Conservation Agreement requires staff time for technical supervision, review and evaluation, and project administration from various agency administrative units including: Forest Service Regional Office, Forest Supervisor Offices, Ranger District Offices, Fish and Wildlife Service Regional Office, and Ecological Services Field Office.",https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf,,,,,,,,,,
Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,,,,,,,1,,CCA,"USFS, USFWS",,,,2,,"USFS, USFWS",The USFS agrees to – manage the summit and open slopes of Mt. Ashland to protect existing populations of Mt. Ashland lupine and Hederson’s horkelia. Population levels need to be maintained to snsure that loss of a few individuals to minor disturbances will have no effect on the future viability of both Mt. Ashlan populations. // The USFS agrees to – manage habitat for Henderson’s horkelia in the Dutchman Peak/Jackson Gap/Observation Peak area in a manner that maintains the viability of this large complex of Henderson’s horkelia patches and sub-populations. Sufficient population levels need to be maintained to ensure that loss of a few individuals to minor disturbances has no effect on the future viability of the Henderson’s horkelia in this vicinity.  // The USFS agrees to – manage occupied Henderson’s horkelia habitat along the McDonald ridge and Dry Lake in a manner that is not detrimental to the Henderson’s horkelia. Population levels in these small occurrences may decline or extirpation may occur due to random events or environmental factors beyond the control of the USFS // note- there are more specific conservation activities listed in the document but I couldn’t copy and paste the text,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf,,,,,,,,,,
Erigeron basalticus,BASALT DAISY,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Pseudanophthalmus major,BEAVER CAVE BEETLE,,,,,,,4?,7,"A Partners Program 15-year Wildlife Habitat Enhancement Agreement, CCRP, WHIP, LLC","(Kentucky Ecological Services Field Office), the owner of the Beaver Cave property (Kentucky Department of Fish and Wildlife Resources (KDFWR), Natural Resource Conservation Service (NRCS), Farm Service Agency (FSA), Kentucky State Nature Preserves Commission, and Kentucky Division of Forestry)",,,, ," The Service’s Partners for Fish and Wildlife (Partners) Program (Kentucky Ecological Services Field Office) began working with the owner of the Beaver Cave property in 2002, and other partners (Kentucky Department of Fish and Wildlife Resources (KDFWR), Natural Resource Conservation Service (NRCS), Farm Service Agency (FSA), Kentucky State Nature Preserves Commission, and Kentucky Division of Forestry) soon thereafter, to implement projects that would conserve Beaver Cave and the species that occupy it and in order to eliminate the threats to the Beaver Cave beetle and its habitat or reduce them to the point that listing was no longer warranted. The Partners Program coordinated several conservation efforts that were planned and implemented through five interrelated agreements/contracts between the landowner and the agencies listed above: (a) A Partners Program 15-year Wildlife Habitat Enhancement Agreement; (b) a Continuous Conservation Reserve Program (CCRP) 15-year contract through FSA; (c) a Wildlife Habitat Incentives Program (WHIP) 15-year contract through NRCS; and (d) two Landowner Incentive Program (LIP) 10-year agreements through KDFWR. These projects were initiated in the summer of 2003 and fully implemented by fall of 2005.","(Kentucky Ecological Services Field Office), the owner of the Beaver Cave property (Kentucky Department of Fish and Wildlife Resources (KDFWR), Natural Resource Conservation Service (NRCS), Farm Service Agency (FSA), Kentucky State Nature Preserves Commission, and Kentucky Division of Forestry)", ,no available documents,,,,,,,,,,
Opuntia X multigeniculata,BLUE DIAMOND CHOLLA,,,,,,,1,7,HCP,"BLM only relevant for species, total agreement: Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks",,,,7,For 79 species,"BLM only relevant for species, total agreement: Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks","BLM(80) Red Rock Canyon NCA is closed to mining laws, subject to valid and existing rights (83% of blue diamond cholla population is protected). // BLM(81) Implement actions in the Blue Diamond Cholla Conservation Agreement to
ensure the long-term viability of the species.*
",http://www.clarkcountynv.gov/airquality/dcp/Documents/Library/current%20HCP/cc-appa.pdf,,,,,,,,,,
Phacelia stellaris,BRAND'S PHACELIA,,,,,,,2,21,"HCP, CCA","California Department of Fish & Game, California Department of Forestry & Fire Protection, California Department of Parks & Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside U.S., Bureau of Land Management, U.S. Fish & Wildlife Service, U.S. Forest Service, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks, USFWS",,,,5,CCA,"US Navy, US Marine Corps, US Customs and Border Protection, California State Parks, USFWS (offers site/location for each -- not the national office)","1. Each landowner/manager will provide an annual update outlining the implementation of this CCA, summarizing the results thereof, and outlining any changes or improvements where needed: a. This report will be provided to the NBC Natural Resources staff by October 15; b. The NBC Natural Resources staff will consolidate these reports into one submission to the Service for review by November 15. 2. Cooperating agencies will establish and participate in a Brand’s Phacelia Working Group consisting of their staff (or designated representatives), the Service, and biologists involved in conducting surveys, if available. Working Group participants will meet annually to: a. provide site-specific updates on the status of the plants and habitat management; b. evaluate ongoing management strategies for Brand’s phacelia and assess the effectiveness of implementation of the Conservation Action Items to date; and c. discuss and develop additional management strategies that the landowners could choose to implement as part of an adaptive management approach, should management to date appear insufficient or should a different approach to management be indicated. - - - - - Agency-Specific Commitments::: Naval Base Coronado::: 5. Management in the INRMP will be designed to avoid actions which may cause a species to become threatened or endangered. In addition to those species listed as threatened or endangered under the Act, or that are candidates for such listing, the U.S. Navy has recognized the need to implement special management direction for other rare species on the lands it administers. 6. Fund weed control, dune restoration, and habitat enhancement on an annual basis to monitor and treat as needed any plant that poses a threat to the continued success of Brand’s phacelia. Invasive species funding will be targeted for the removal of iceplant to promote the expansion of Brand’s phacelia beyond the baseline population level in areas not used for training. 7. Monitor all known Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas [e.g., SSTC-South and Naval Outlying Landing Field Imperial Beach (NOLF IB)]. If the distribution of Brand’s phacelia expands beyond its current known distribution at NBC, additional occurrences will be managed to the extent feasible, in accordance with this CCA. 8. Ensure that mowing within occupied habitat at NAS North Island continues in a manner which minimizes effects to Brand’s phacelia. 9. To the greatest extent feasible, work with the Navy operators to conduct all activities associated with military operations (including maintenance) in a manner that minimizes adverse effects to existing populations and perhaps promotes Brand’s phacelia populations. The NBC Installation Botanist will: a. provide military operators and schedulers the most recent GIS layers for Brand’s phacelia distribution. When possible, plant locations will be considered in conducting training events; and b. coordinate with military operators to reduce the risk of invasion of nonnative plants and noxious weeds in Brand’s phacelia habitat areas. 10. To the greatest extent feasible, provide access and support studies/scientific research specific to the biology and ecology of Brand’s phacelia at NBC or off site. 11. Continue seed collection and offsite seed storage program. Storage program will be done by an entity experienced with maintaining seed repositories. 12. Monitor Brand’s phacelia occupied and adjacent habitat for invasive plants. Spraying in or near populations of Brand’s phacelia will be evaluated on a site-specific and herbicidedependent basis prior to application to alleviate negative impact to the species and its potential pollinators and non-target, native vegetation. 13. Monitor recreational impacts and the effects of public parking on the Brand’s phacelia population at SSTC-N Bayside. Signs, flagging, and other strategies to minimize disturbance from parking and public recreation will be implemented as necessary. 14. Monitor Brand’s phacelia at SSTC-N Bayside annually to assess whether ingress/egress of military users is affecting plants in this area. 15. If required, complete NEPA analysis for implementation of future projects in areas occupied by Brand’s phacelia. The NEPA process seeks to avoid and minimize effects to sensitive resources. The Service, cooperators, and public can review projects as a part of the NEPA process. 16. Notify Cooperating Agencies and/or the Working Group of future projects with the potential to affect Brand’s phacelia. MCB Camp Pendleton 17. Fund weed control, dune restoration, and habitat enhancement on an annual basis to treat, as needed, any plant that poses a threat to the continued success of Brand’s phacelia. Invasive species funding will targeted towards the removal of invasive nonnative forbs and invasive annual grasses and their thatch to improve habitat conditions for Brand’s phacelia. 18. Monitor the known Brand’s phacelia population every year for the duration of this agreement. 19. Inventory for new populations in suitable habitat areas in the lower Santa Margarita River. California State Parks 20. Provide annual invasive species control within areas that support Brand’s phacelia. Invasive plant control will consist of herbicide treatment or removal of iceplant. If monitoring data or data from working group suggests that Brand’s phacelia occurrences are in decline relative to increases in a specific invasive plant species, then those species will be treated intensively. Species to consider include European searocket, Saharan mustard, Oenothera laciniata (cutleaf evening-primrose), Emex spinosa (devil’s thorn), and annual grasses that produce heavy thatch (e.g., Bromus diandrus, Lolium perenne). If new occurrences of an invasive species are identified on site by CSP or by the working group they will be treated or removed as early as possible. 21. Monitor representative large and small Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas (e.g., the ocean side of Silver Strand State Beach). If the distribution of Brand’s phacelia expands beyond its current known distribution at NBC, additional occurrences will be managed to the extent feasible, in accordance with this CCA. 22. Work with visitor service and facilities maintenance staff to minimize significant adverse effects from recreational activities and ongoing site maintenance to existing occurrences of Brand’s phacelia and to its habitat. The CSP Environmental Scientist (ES) will provide SSSB park staff with the most recent GIS layers for Brand’s phacelia. 23. To the greatest extent feasible, provide access and support studies/scientific research specific to the biology and ecology of Brand’s phacelia at SSSB. 24. Continue the plant propagation program. Amplify seed for supplementation of small populations or development of new populations. 25. Monitor Brand’s phacelia occupied and adjacent habitat for invasive plants. Spraying in or near populations of Brand’s phacelia will be evaluated on a site-specific and herbicidedependent basis prior to application to alleviate negative impact to the species and its potential pollinators and non-target, native vegetation. 26. Interpretive signs and public education will be provided. Fencing will be installed (either temporary or permanent) as necessary to support Brand’s phacelia conservation efforts. 27. Manage special events to the extent feasible to avoid large off-pavement events on the bayside between germination of plants and seed maturity (approximately November through April). Special event leaders will be provided educational material about rare plant conservation efforts at SSSB at the beginning of the event. 28. Notify Cooperating Agencies and/or the Working Group of future projects with the potential to affect Brand’s phacelia. U.S. Customs and Border Protection 29. Provide invasive species control on an annual basis within the portion of Lichty Mesa supporting Brand’s phacelia. Invasive species which may be selected for removal include Saharan mustard, devil’s thorn, and crown daisy, smooth cat’s ear, crystalline iceplant, red brome, Pampas grass, and Mediterranean grass. Native species that are not considered part of the local native flora at this location and could be considered for removal include sealavender, California broom, saltbush, giant coreopsis, and purple needlegrass. 30. Monitor all known Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas. If the distribution of Brand’s phacelia expands beyond its current known distribution at Lichty Mesa, additional occurrences will be managed to the extent feasible, in accordance with this CCA. 31. To the greatest extent feasible, work with Border Patrol agents to conduct all activities associated with border security (including patrols and pursuits) in a manner that minimizes adverse effects to existing populations. CBP will: a. provide Border Patrol agents the most recent GIS layers for Brand’s phacelia distribution. When possible, plant locations will be considered in conducting patrols; and b. coordinate with Border Patrol agents to reduce the risk of invasion of non-native plants and noxious weeds in Brand’s phacelia habitat areas. 32. Notify Cooperating Agencies and/or the Working Group of future projects with the potential to affect Brand’s phacelia.",https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1043.pdf,HCP,16,"California Department of Fish & Game, California Department of Forestry & Fire Protection, California Department of Parks & Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside U.S., Bureau of Land Management, U.S. Fish & Wildlife Service, U.S. Forest Service",???,,,,,,
