"","scientific_name","common_name.x","NoHCPS_count","log_rangearea","range_area","plant","public_mang_shannons_diversity","total_threats","private_land_proportion","month_12","wd_proposed","Big_Pg_count","nserve_pop_stability","log_HCPS","Shannon_private","Shannon_private_area"
"1","Calochortus persistens","SISKIYOU MARIPOSA LILY",9,25.0132594102254,72965999566,1,0.918042879222683,1,0.40244745,1,0,1,5,2.19722457733622,0.548578863488856,13.7217454194134
"2","Astragalus cusickii var. packardiae","PACKARDS MILKVETCH",2,21.6410153562726,2503649630,1,0.572826748517178,1,0.433037075,0,0,0,3,0.693147180559945,0.324771528857539,7.02838564328611
"3","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS",23,NA,NA,0,NA,NA,NA,1,0,1,NA,3.13549421592915,NA,NA
"4","Erigeron basalticus","BASALT DAISY",4,23.560748543936,17072734324,1,1.12874639084418,0,0.529169925,0,0,0,5,1.38629436111989,0.531447747857145,12.5213067515033
"5","Pseudanophthalmus major","BEAVER CAVE BEETLE",7,20.4919400573141,793480924,0,0.856285085939531,2,0.994951998,1,0,1,4,1.94591014905531,0.00432252882639292,0.088577001606456
"6","Phacelia stellaris","BRAND'S PHACELIA",5,23.7870947929766,21409375981,1,0.947897960885258,3,0.626205045,0,0,1,3,1.6094379124341,0.354319475633697,8.4282309538965
"7","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH",4,21.2398307422826,1676259638,0,0.433217655099483,1,0.57861038,0,0,0,3,1.38629436111989,0.182553423059662,3.87740380721154
"8","Castilleja christii","CHRISTÕS PAINTBRUSH",6,22.6171148430593,6644895767,1,0.976634322570671,2,0.4055954,0,0,0,3,1.79175946922805,0.580515933853891,13.1295955441993
"9","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE",6,23.0586968034506,10333912540,0,0.745682106731371,2,0.06313171,0,1,1,3,1.79175946922805,0.698605920217017,16.1089420993798
"10","Gila bicolor vaccaceps","COW HEAD TUI CHUB",9,23.9990534024977,26464059457,0,0.663268710605859,2,0.250585325,0,1,1,3,2.19722457733622,0.497063305196359,11.9290488058294
"11","Cymopterus deserticola","DESERT CYMOPTERUS",3,25.1483652040247,83521106058,1,0.895492062988901,2,0.554197533333333,1,0,1,5,1.09861228866811,0.399212570560874,10.0395435185023
"12","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD",23,24.8579895384108,62472327673,0,0.829133434638493,3,0.751754946530454,0,1,1,3,3.13549421592915,0.205828273815221,5.11647707720793
"13","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT",8,23.1881071518686,11761615611,0,0.514682154577254,3,0.28470978,1,0,1,3,2.07944154167984,0.368147111577638,8.5366346709132
"14","Pyrgulopsis notidicola","ELONGATE MUD MEADOW SPRINGSNAIL",1,23.9409222497939,24969533279,0,0.375564396829219,2,0.0553503399999999,0,0,0,3,0,0.354776779772827,8.49368330057349
"15","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD",14,23.3822144209528,14281265651,0,0.854106685063149,2,0.48686726,0,1,1,6,2.63905732961526,0.438270103558771,10.2477255357043
"16","Dalea tentaculoides","GENTRY'S INDIGOBUSH",1,21.8875451500651,3203613249,1,1.05955065108034,3,0.32493774,0,0,0,3,0,0.715262657102766,15.6553437014923
