"Scientific Name","Common Name","Where Found","Removal/Withdrawal
Reason","Group"
"Pterodroma cookii","Cook's petrel","<div>Wherever found</div>","Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (01/05/2010)","Birds"
"Synthliboramphus hypoleucus scrippsi","Scripp's Murrelet","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (09/21/2016)","Birds"
"Pekania pennanti","Fisher","<div>West Coast DPS</div>","Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (04/18/2016)","Mammals"
"Centrocercus urophasianus","Greater sage-grouse","<div>Bi-State</div>","<ul><li>Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (04/23/2015)</li><li>Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (03/31/2020)</li><li>Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/02/2015)</li><li>Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/02/2015)</li></ul>","Birds"
"Synthliboramphus hypoleucus","Xantus'sMurrelet","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (09/21/2016)","Birds"
"Lithobates onca","Relict leopard Frog","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/06/2016)","Amphibians"
"Rana luteiventris","Columbia spotted frog","<div>Great Basin DPS</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/08/2015)","Amphibians"
"Gila bicolor vaccaceps","Cow Head tui chub","<div>Wherever found</div>","Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/11/2006)","Fishes"
"Oncorhynchus mykiss aquilarum","Eagle Lake rainbow Trout","<div>Wherever found</div>","12m petition finding: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (07/06/2016)","Fishes"
"Pyrgulopsis notidicola","Elongate mud meadows Springsnail","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (11/21/2012)","Snails"
"Ambrysus funebris","Nevares Spring naucorid bug (=Furnace Creek)","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/08/2015)","Insects"
"Euphilotes ancilla purpura","Spring Mountains dark blue butterfly","<div>Wherever found</div>","Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (09/19/2013)","Insects"
"Euphilotes ancilla cryptica","Spring Mountains dark blue butterfly","<div>Wherever found</div>","Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (09/19/2013)","Insects"
"Plebejus lupini texanus","Lupine blue butterfly","<div>Wherever found</div>","Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (09/19/2013)","Insects"
"Echinargus isola","Reakirt's blue butterfly","<div>Wherever found</div>","Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (09/19/2013)","Insects"
"Plebejus icarioides austinorum","Spring Mountains icarioides blue butterfly","<div>Wherever found</div>","Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (09/19/2013)","Insects"
"Abronia alpina","Ramshaw Meadows sand-verbena","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/08/2015)","Flowering Plants"
"Calochortus persistens","Siskiyou Mariposa lily","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/08/2015)","Flowering Plants"
"Chorizanthe parryi var. fernandina","San Fernando Valley Spineflower","<div></div>","Withdrawal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (03/15/2018)","Flowering Plants"
"Cordylanthus nidularius","Mt. Diablo bird's-beak","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (02/28/1996)","Flowering Plants"
"Eriogonum argophyllum","Sulphur Springs buckwheat","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/20/2000)","Flowering Plants"
"Rorippa subumbellata","Tahoe yellow cress","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (10/08/2015)","Flowering Plants"
"Sidalcea hickmanii parishii","Parish's checkerbloom","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (09/12/2006)","Flowering Plants"
"Hazardia orcuttii","Orcutt's hazardia","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (11/22/2013)","Flowering Plants"
"Potentilla basaltica","Soldier Meadows Cinquefoil","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (08/02/2013)","Flowering Plants"
"Phacelia stellaris","Brand's phacelia","<div>Wherever found</div>","Candidate Removal: Due to the species being in a conservation agreement and the best available information on biological vulnerability and threats is insufficient to support a conclusion that the species warrants listing as a threatened species or an endangered species (11/22/2013)","Flowering Plants"
