"","Scientific name","Common name","Conservation Plan_1","notes_all_cleaning specific","number of conservation agreements","total number of partners for species","type of agreements (source of information)","""in cooperation"" (included in total unless stated otherwise) or other vague terms","List agency office (if given)","unspecified additional landowners","If distinction between species specific partners and total agreement partners, list total agreement partners here","note redundancy","Who the partners are"
"1","Calochortus persistens","SISKIYOU MARIPOSA LILY",NA,NA,1,2,"Conservation Agreement",NA,NA,NA,NA,NA,"USFS, BLM"
"2","Allium gooddingii","GOODING'S ONION",NA,NA,1,1,"CCA",NA,NA,NA,NA,NA,"USFS"
"3","Astragalus cusickii var. packardiae","PACKARDS MILKVETCH",NA,NA,1,1,"Federal Listings",NA,NA,NA,NA,NA,"BLM"
"4","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS",NA,"(Assuming have all 3)",3,7,"CCAA,  Dillon Resource Management Plan,  Big Hole River Drought Management Plan","In cooperation with Montana Department of Natural Resources and Conservation + USDA NRCS",NA,"Yes",NA,NA,"Montana Department of Fish Wildlife and Parks, USFWS, BLM, Montana Department of Natural Resources and Conservation"
"5","Cimicifuga arizonica","ARIZONA BUGBANE",NA,NA,1,2,"Conservation Agreement",NA,NA,NA,NA,NA,"USFS,  USFWS"
"6","Lupinus aridus ssp. ashlandensis","ASHLAND LUPINE",NA,NA,1,2,"CCA",NA,NA,NA,NA,NA,"USFS,  USFWS"
"7","Erigeron basalticus","BASALT DAISY",NA,NA,0,0,"None",NA,NA,NA,NA,NA,NA
"8","Pseudanophthalmus major","BEAVER CAVE BEETLE",NA,"Document references more agreements than can find. Don't currently have any of the agreements listed as all information was taken from federal listings. Have put number of documents that exist as number",4,7,"A Partners Program 15-year Wildlife Habitat Enhancement Agreement,  CCRP,  WHIP,  LLC",NA,NA,NA,NA,NA,"Kentucky Ecological Services Field Office, Owner of the Beaver Cave property,  Kentucky Department of Fish and Wildlife Resources,  Natural Resources Conservation Service,  Farm Service Agency,  Kentucky State Nature Preserves Commission,  Kentucky Division of Forestry"
"9","Opuntia X multigeniculata","BLUE DIAMOND CHOLLA",NA,NA,1,7,"HCP",NA,NA,NA,"Clark County, USFS, USFWS, NPS, NDOW, Nevada Division of State parks",NA,"BLM"
"10","Phacelia stellaris","BRAND'S PHACELIA",NA,NA,2,21,"HCP,  CCA",NA,NA,NA,NA,NA,"California Department of Fish and Game, California Department of Forestry and Fire Protection, California Department of Parks and Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside, BLM, USFWS, USFS, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks"
"11","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH",NA,NA,1,4,"CCA",NA,NA,NA,NA,NA,"Mississippi Army National Guard, USFS, Mississippi Department of Wildlife Fisheries and Parks, USFWS"
"12","Synthyris ranunculina","CHARLESTON KITTENTAILS",NA,NA,2,13,"HCP,  CCA",NA,NA,NA,NA,"USFS, USFWS","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City"
"13","Castilleja christii","CHRISTÕS PAINTBRUSH",NA,NA,1,2,"CCA",NA,NA,NA,"USFS (Minidoka Ranger District and Sawtooth National Forest",NA,"USFS,  USFWS"
"14","Astragalus oophorus clokeyanus","CLOKEY'S EGGVETCH",NA,NA,2,13,"HCP,  CCA",NA,NA,NA,NA,"USFS, USFWS","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City"
"15","Polyctenium williamsiae","COMBLEAF",NA,NA,0,0,"None",NA,NA,NA,NA,NA,NA
"16","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE",NA,"*unclear if in addition to or separate from other agreement",2,0,"CCA,  Indiana Coal Mining Agreement",NA,NA,NA,NA,"USFWS, Illinois Department of Natural Resources, Indiana Department of Natural Resources","Indiana Coal Council, Indiana Department of Natural Resources, USFWS, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association;  Office of Surface Mining reclamation and Enforcement"
"17","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE",NA,NA,1,0,"CCA",NA,NA,NA,NA,NA,"Utah Division of Parks and Recreation, BLM, FWS, Kane County"
"18","Gila bicolor vaccaceps","COW HEAD TUI CHUB",NA,"unsure how to count and I think the number 8 is inaccurate",1,0,"Conservation Agreement",NA,"BLM (Surprise Field Office)","Yes",NA,NA,"Cow Head Slough, California reach of Barrel Creek, California and Modoc County Cattlemen’s Associations, California Farm Bureau Federation, BLM, California Department of Fish and Game (CDFG)."
"19","Downingia concolor brevior","CUYAMAC LAKE DOWNINGIA",NA,NA,1,12,"CCA",NA,NA,NA,NA,NA,"Indiana Coal Council, Indiana Department of Natural Resources, USFWS, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association, Office of Surface Mining reclamation and Enforcement"
"20","Cymopterus deserticola","DESERT CYMOPTERUS",NA,NA,2,4,"HCP,  Integrated Natural Resources Management Plan For Edwards Air Force Base","These agencies and local jurisdictions are cooperating with a variety of nongovernmental organizations, including businesses, environmental organizations, user groups and others with a stake in the future management of the planning area, to develop the West Mojave Plan. Over 100 non-governmental organizations (NGO) have participated in this process. Representatives of the agencies, jurisdictions and NGOs comprise the West Mojave Supergroup. /// US Air Force - Edwards Air Force Base, CA","US Air Force - Edwards Air Force Base, CA",NA,NA,NA,"Utah Division of Parks and Recreation, BLM, USFWS, Kane County"
