"","scientific_name","common_name","sum_part_raw","all_partner_names_raw","partner_names","total"
"1","Calochortus persistens","SISKIYOU MARIPOSA LILY","2_NA_NA","USFS,BLM,NA,NA",NA,NA
"2","Allium gooddingii","GOODING'S ONION","1_NA_NA","USFS,NA,NA","USFS, USFWS",2
"3","Astragalus cusickii var. packardiae","PACKARDS MILKVETCH","1_2_NA","BLM,BLM’s Lower Snake River District and Idaho Department of Fish and Game’s Conservation Data Center,BLM, Seeds of Success program, Utah State University and the Agricultural Research Service (don't think all 3 are in partnership just BLM working with each)","BLM",1
"4","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","4? + unspecified landowners_1_2","Between Montana Department of Fish, Wildlife and Parks + USFWS / In cooperation with Montana Department of Natural Resources and Conservation + USDA NRCS,BLM,Montana Fish, Wildlife and Parks (MFWP), Montana Department of Natural Resources and Conservation (DNRC)","Montana Department of Fish Wildlife and Parks, USFWS, BLM",3
"5","Cimicifuga arizonica","ARIZONA BUGBANE","2_NA_NA","USFS, USFWS,NA,NA","USFS, USFWS",2
"6","Lupinus aridus ssp. ashlandensis","ASHLAND LUPINE","2_NA_NA","USFS, USFWS,NA,NA","USFS, USFWS",2
"7","Erigeron basalticus","BASALT DAISY","2_NA_NA","Rare Care, NPS,NA,NA",NA,NA
"8","Pseudanophthalmus major","BEAVER CAVE BEETLE","NA_NA_NA","(Kentucky Ecological Services Field Office), the owner of the Beaver Cave property (Kentucky Department of Fish and Wildlife Resources (KDFWR), Natural Resource Conservation Service (NRCS), Farm Service Agency (FSA), Kentucky State Nature Preserves Commission, and Kentucky Division of Forestry),NA,NA","Kentucky Ecological Services Field Office, Owner of the Beaver Cave property,  Kentucky Department of Fish and Wildlife Resources,  NRCS,  Farm Service Agency,  Kentucky State Nature Preserves Commission,  Kentucky Division of Forestry",7
"9","Opuntia X multigeniculata","BLUE DIAMOND CHOLLA","7_NA_NA","BLM only relevant for species, total agreement: Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks,NA,NA","BLM",1
"10","Phacelia stellaris","BRAND'S PHACELIA","5_16_NA","US Navy, US Marine Corps, US Customs and Border Protection, California State Parks, USFWS (offers site/location for each -- not the national office),California Department of Fish & Game, California Department of Forestry & Fire Protection, California Department of Parks & Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside U.S., Bureau of Land Management, U.S. Fish & Wildlife Service, U.S. Forest Service,NA","California Department of Fish and Game, California Department of Forestry and Fire Protection, California Department of Parks and Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside, BLM, USFWS, USFS, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks",20
"11","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH","4_NA_NA","Mississippi Army National Guard, U.S. Forest Service, Mississippi Department of Wildlife, Fisheries and Parks (--> Mississippi Museum of Natural Sciences (MMNS)), and the USFWS,NA,NA","Mississippi Army National Guard, USFS, Mississippi Department of Wildlife Fisheries and Parks, USFWS",4
"12","Synthyris ranunculina","CHARLESTON KITTENTAILS","3?_10_NA","USFS, USFWS, Nevada Department of Conservation and Natural Resources,total agreement: Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ---> • Clark County (all ecosystems) • USFS (alpine, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, and blackbrush) • USFWS (as a resource agency, throughout Clark County; as land managers, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • BLM (pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • USAF (salt desert scrub and Mojave desert scrub) • NPS (blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • Boulder City (Mojave desert scrub) • State Parks (Mojave desert scrub) • NDOW (as a resource agency, throughout Clark County; as land managers, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • NDOT (all ecosystems below alpine) • NDF (all ecosystems),NA",NA,NA
"13","Castilleja christii","CHRISTÕS PAINTBRUSH","2 or 3_NA_NA","USFS (Minidoka Ranger District and Sawtooth National Forest), USFWS,NA,NA","USFS,  USFWS",2
"14","Astragalus oophorus clokeyanus","CLOKEY'S EGGVETCH","3_10_NA","USFS, USFWS, Nevada Department of Conservation and Natural Resources,total agreement: Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ---> • Clark County (all ecosystems) • USFS (alpine, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, and blackbrush) • USFWS (as a resource agency, throughout Clark County; as land managers, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • BLM (pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • USAF (salt desert scrub and Mojave desert scrub) • NPS (blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • Boulder City (Mojave desert scrub) • State Parks (Mojave desert scrub) • NDOW (as a resource agency, throughout Clark County; as land managers, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • NDOT (all ecosystems below alpine) • NDF (all ecosystems),NA","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City",11
"15","Rana luteiventris","COLUMBIA SPOTTED FROG - GREAT BASIN DPS","NA_NA_NA","NA,NA,NA",NA,NA
"16","Rana luteiventris","COLUMBIA SPOTTED FROG - WASATCH FRONT POPULATION","NA_NA_NA","NA,NA,NA",NA,NA
"17","Rana luteiventris","COLUMBIA SPOTTED FROG - WEST DESERT POPULATION","NA_NA_NA","NA,NA,NA",NA,NA
"18","Polyctenium williamsiae","COMBLEAF","NA_NA_NA","NA,NA,NA",NA,NA
"19","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE","9_3_NA","Illinois Department of Natural Resources; Indiana Department of Natural Resources; Kentucky Department of Fish and Wildlife Resources; Kentucky Coal Association; Kentucky Coal Country Association; Kentucky Farm Bureau; Kentucky Natural Resources and Environmental Cabinet; Western Kentucky Coal Association; U.S. Department of Interior - U.S. Fish and Wildlife service - Office of Surface Mining reclamation and Enforcement,*unclear if in addition to or separate from other agreement - Indiana Coal Council; Indiana Department of Natural Resources; U.S. Department of Interior - U.S. Fish and Wildlife Service,NA","Illinois Department of Natural Resources, Indiana Department of Natural Resources, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association, USFWS, Office of Surface Mining Reclamation and Enforcement",10
"20","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","4_NA_NA","Utah Division of parks and Recreat, BLM, FWS, Kane County Utah,NA,NA","Utah Division of Parks and Recreation, BLM, USFWS, Kane County",4
"21","Gila bicolor vaccaceps","COW HEAD TUI CHUB","8+_NA_NA","from federal registery doc - On October 22, 1999, stakeholders signed a conservation agreement (CA), including a conservation strategy, with the stated purpose of ensuring the longterm survival of the Cow Head tui chub (Service 1999, p. 2). Signatories included private landowners of Cow Head Lake, Cow Head Slough, and the California reach of Barrel Creek (four owners, all CA signatories); principal permittees on BLM lands within the drainage; California and Modoc County Cattlemen’s Associations; the California Farm Bureau Federation; the BLM (Surprise Field Office); and California Department of Fish and Game (CDFG).,NA,NA","private landowners of Cow Head Lake Cow Head Slough and California reach of Barrel Creek (four owners all CA signatories), principal permittees on BLM lands within the drainage, California and Modoc County Cattlemen's Associations, the California Farm Bureau Federation, BLM, California Department of Fish and Game",6
