"","scientific_name","common_name","partner_names","total","FedAg_w_collab","wo_FedAg_w_collab","count_w_FedAg_wo_collab","count_wo_FedAg_wo_collab","count_collab","count_w_FedAg_w_collab","count_wo_FedAg_w_collab"
"1","Calochortus persistens","SISKIYOU MARIPOSA LILY",NA,NA,"","",NA,NA,NA,0,0
"2","Allium gooddingii","GOODING'S ONION","USFS, USFWS",2,"USFS Southwestern Region, USFWS Southwest Region","USFS, USFWS",2,2,NA,2,2
"3","Astragalus cusickii var. packardiae","PACKARDS MILKVETCH","BLM",1,"BLM","BLM",1,1,NA,1,1
"4","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","Montana Department of Fish Wildlife and Parks, USFWS, BLM",3,"Montana Department of Fish Wildlife and Parks, USFWS, BLM Dillon Field Office,Montana Department of Natural Resources and Conservation, NRCS, Beaverhead County, Madison County","Montana Department of Fish Wildlife and Parks, USFWS, BLM,Montana Department of Natural Resources and Conservation, NRCS, Beaverhead County, Madison County",3,3,4,7,7
"5","Cimicifuga arizonica","ARIZONA BUGBANE","USFS, USFWS",2,"USFS Coconino National Forest, USFS Kaibab National Forest, USFS Tonto National Forest, UFWS Service Arizona Ecological Services Field Office","USFS, UFWS",4,2,NA,4,2
"6","Lupinus aridus ssp. ashlandensis","ASHLAND LUPINE","USFS, USFWS",2,"USFWS Oregon State Office, USFS Rouge River NF,  USFS Klamath National Forest, USFS Scott River and Oak Knoll Ranger Districts,Oregon Plant Conservation Program, Oregon Natural Heritage Program","USFWS, USFS,Oregon Plant Conservation Program, Oregon Natural Heritage Program",4,2,2,6,4
"7","Erigeron basalticus","BASALT DAISY",NA,2,"Rare Care, NPS","Rare Care, NPS",2,2,NA,2,2
"8","Pseudanophthalmus major","BEAVER CAVE BEETLE","Kentucky Ecological Services Field Office, Owner of the Beaver Cave property,  Kentucky Department of Fish and Wildlife Resources,  NRCS,  Farm Service Agency,  Kentucky State Nature Preserves Commission,  Kentucky Division of Forestry",7,"Kentucky Ecological Services Field Office, Owner of the Beaver Cave property,  Kentucky Department of Fish and Wildlife Resources,  NRCS,  Farm Service Agency,  Kentucky State Nature Preserves Commission,  Kentucky Division of Forestry","Kentucky Ecological Services Field Office, Owner of the Beaver Cave property,  Kentucky Department of Fish and Wildlife Resources,  NRCS,  Farm Service Agency,  Kentucky State Nature Preserves Commission,  Kentucky Division of Forestry",7,7,NA,7,7
"9","Opuntia X multigeniculata","BLUE DIAMOND CHOLLA","BLM",1,"BLM","BLM",1,1,NA,1,1
"10","Phacelia stellaris","BRAND'S PHACELIA","California Department of Fish and Game, California Department of Forestry and Fire Protection, California Department of Parks and Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside, BLM, USFWS, USFS, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks",20,"California Department of Fish and Game, California Department of Forestry and Fire Protection, California Department of Parks and Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside, BLM, USFWS Carlsbad Fish and Wildlife Office, USFS, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks","California Department of Fish and Game, California Department of Forestry and Fire Protection, California Department of Parks and Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside, BLM, USFWS, USFS, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks",20,20,NA,20,20
