"","ID","Scientific name","Common name","Listing Status","Year listed/precluded","Year","Regions of occurrence","US vs foreign","Vert vs invert","Species group","Number of counties","County names","County FIPS","Range.Area","Habitat.modification","Overutilization","Pollution","Species.species.interactions","Env.Stochasticity","Demographic.Stochasticity","Total threats","avg_footprint_2009","avg_footprint_1993","absolute_change_footprint","cropland_footprint_2005","cropland_footprint_1992","absolute_change_cropland_footprint","pasture_footprint_2009","pasture_footprint_1993","absolute_change_pasture_footprint","lights_footprint_2009","lights_footprint_1994","absolute_change_lights_footprint","population_footprint_2010","population_footprint_1990","absolute_change_population_footprint","built_footprint_2009","built_footprint_1994","absolute_change_built_footprint","navwater_footprint_2009","navwater_footprint_1994","absolute_change_navwater_footprint","agland_value","avg_employment","per_capita_income","nserve_pop_stability","Education","public_mang_shannons_diversity","env_ballot_pass_proportion","prior_listed_density","prior_rec_density"
"1",1,"Galium californicum ssp. sierrae","El Dorado bedstraw","Listed","10/18/1996",1996,"8","US","P","Flowering Plants",3,"Sacramento, Placer, El Dorado","06067, 06061, 06017",10566574321,1,0,1,1,1,1,5,13.2441042236925,13.0743091906162,0.1697950330763,0.251447432078454,0.381885463468991,-0.130438031390537,0.154747006066477,0.171484821971991,-0.016737815905514,3.12373475268009,3.22604777154988,-0.10231301886979,4.60914727862261,4.12354465254736,0.48560262607525,2.30069241759596,2.36701114230795,-0.0663187247119899,0,0,0,9.35673727837474,1.04841452522444,4.52791339639783,3,0.146394004238096,0.854639236120117,0.666666666666667,2.74450348041043,0
"2",2,"Baccharis vanessae","Encinitas baccharis","Listed","10/7/1996",1996,"8","US","P","Flowering Plants",1,"San Diego","06073",10898787530,1,0,0,1,1,1,4,12.3419844458546,11.9195158045832,0.422468641271399,0.0483548445737139,0,0.0483548445737139,0.143882930376295,0.144973641156153,-0.00109071077985801,3.07871296127977,2.98036720596255,0.09834575531722,4.3576622432285,4.08989274677331,0.26776949645519,2.52590438102163,2.51681512452281,0.00908925649881986,0.0434204044031222,0.0434204044031222,0,19.247,1.73441953501409,4.4824,3,0.147457309721724,0.679898573321334,1,2.47733978900679,0
"3",3,"Sidalcea covillei","Owens Valley checkermallow","Precluded","2/28/1996",1996,"8","US","P","Flowering Plants",1,"Inyo","06027",26368508430,1,0,0,1,0,0,2,1.30307174376771,1.31534260611798,-0.0122708623502701,0.00895848232769978,0.00210787819475289,0.00685060413294689,0.163849888959988,0.16377460759589,7.52813640980121e-05,0.0350811156698159,0.0529227989611172,-0.0178416832913013,0.145970564986638,0.131892949900252,0.014077615086386,0.0131742387172056,0.0286069183573606,-0.015432679640155,0,0,0,0.951,0.00401805055759083,4.0309,5,0.097537159596398,1.15227723530384,0,0.493012338354703,0.0379240260272849
"4",4,"Lesquerella perforata","Spring Creek bladderpod","Listed","12/23/1996",1996,"4","US","P","Flowering Plants",1,"Wilson","47189",1479053189,1,1,0,1,0,1,4,17.5138741234741,15.7577442435574,1.7561298799167,0,0,0,0,0,0,4.59642147117296,4.2286282306163,0.36779324055666,5.01590457256461,4.48906560636183,0.52683896620278,3.32007952286282,2.45858184227966,0.86149768058316,0.242873370306354,0.242873370306354,0,4.094,0.367153800849551,3.647,3,0.116462674443015,1.00032076971987,0,11.4938395227651,0.676108207221478
"5",5,"Cymopterus deserticola","Desert cymopterus","Precluded","2/28/1996",1996,"8","US","P","Flowering Plants",3,"Kern, Los Angeles, San Bernardino","06029, 06037, 06071",83521106058,1,0,0,1,0,0,2,10.4650713886261,10.5838474297446,-0.118776041118499,0.32273722402618,0.242401210597666,0.080336013428514,0.534562531630647,0.544453548397209,-0.00989101676656201,2.34936466159929,2.57467108614702,-0.22530642454773,3.24951733304984,3.03160212337002,0.21791520967982,1.85104607806076,2.03287590393142,-0.18182982587066,0.046485939854067,0.046485939854067,0,4.90159176920741,0.833621862618174,3.14346848092877,5,0.089330064554831,0.895492062988901,0.333333333333333,0.993760785954653,0.0119730215175259
"6",6,"Fremontodendron californicum ssp. decumbens","Pine Hill flannelbush","Listed","10/18/1996",1996,"8","US","P","Flowering Plants",4,"El Dorado, Nevada, Sacramento, Placer","06017, 06057, 06067, 06061",13047161652,1,0,1,1,1,1,5,11.7245520001591,11.6306260376267,0.0939259625324009,0.189990632268395,0.286414097601743,-0.096423465333348,0.127401081526975,0.139954443456111,-0.012553361929136,2.63595642380352,2.77642061388923,-0.14046419008571,4.32056981264018,3.8582144910163,0.46235532162388,1.83390951793402,1.95289785893891,-0.11898834100489,0,0,0,8.97159464255092,0.889904663534248,4.51990660071642,3,0.149844491832759,0.844374388524739,0.5,2.68257579184932,0
"7",7,"Verbesina dissita","Big-leaved crownbeard","Listed","10/7/1996",1996,"8","US/Foreign","P","Flowering Plants",1,"Orange","06059",2048392529,1,0,0,0,0,0,1,30.9377241291637,30.1097142896723,0.828009839491401,0,0,0,0,0,0,8.76412776412776,8.65995085995086,0.104176904176901,8.86289926289926,8.25208845208845,0.610810810810809,8.07371007371007,7.96068796068796,0.113022113022109,0.179639396900779,0.179639396900779,0,12.095,9.92666186393809,5.1325,3,0.162124750255014,0.464304095736883,1,9.27556595281841,0
"8",8,"Polemonium pectinatum","No common name","Precluded","2/28/1996",1996,"1","US","P","Flowering Plants",3,"Chelan, Kittitas, Okanogan","53007, 53037, 53047",27155074914,0,0,0,1,0,0,1,3.78492182008709,3.96252337973957,-0.17760155965248,0.00587502735679935,0.253232630418438,-0.247357603061639,0.394718497295112,0.380708284584907,0.014010212710205,0.347724850320745,0.534492322256816,-0.186767471936071,1.47442283116301,1.11093621376139,0.36348661740162,0.146393536465902,0.26736684984705,-0.120973313381148,0.110075338862772,0.110075338862772,0,3.4938564471799,0.0341704084020632,3.07514218660487,5,0.106211635987118,0.853365159054294,0,0.441906348555618,0.147302116185206
"9",9,"Synthyris ranunculina","[Unnamed] kittentails","Precluded","2/28/1996",1996,"8","US","P","Flowering Plants",1,"Clark","32003",20439281450,1,0,0,0,0,0,1,8.00432966246758,6.75121526256887,1.25311439989871,0.00367524223187437,0.000334112930170398,0.00334112930170397,1.86592525416448,1.8758531812324,-0.00992792706792001,1.31134552050021,1.16151973652809,0.14982578397212,2.22027588181948,1.24500023865209,0.97527564316739,0.974177843539688,0.839578063099613,0.134599780440075,0.0658776230484692,0.0658776230484692,0,3.039,0.574434577297726,3.9928,5,0.100183010370236,1.22026862819974,1,0.489253989895031,0
"10",10,"Arctostaphylos glandulosa ssp. crassifolia","Del Mar manzanita","Listed","10/7/1996",1996,"8","US/Foreign","P","Flowering Plants",2,"San Diego, Riverside","06073, 06065",29563329838,1,0,0,1,1,0,3,10.9316295544836,10.1891518147728,0.7424777397108,0.100456638964052,0.059144030322173,0.041312608641879,0.295514849058436,0.298771301521433,-0.00325645246299699,2.63295513298775,2.51358326606824,0.11937186691951,3.80983238503813,3.25854397288128,0.55128841215685,2.13418824020549,2.10042693476088,0.0337613054446102,0.0359767543955868,0.0359767543955868,0,17.0486706280184,0.942115795230874,3.64858793751404,5,0.116221913811951,1.28748950845466,0.5,1.62363307053125,0
