Scientific name,Common name,Notice of candidate status,agreement before Notice of candidate status? (Y/N),Year removed,agreement before listing? (Y/N) **unsure which is listing date (this comepares to column G),Year of agreement doc 1,Year of agreement doc 2,Year of agreement doc 3,Taxa,,note redundancy,Who the partners are,agreement no,partner no total
Calochortus persistens,SISKIYOU MARIPOSA LILY,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,2007,,,,,Flowering Plant,,,"USFS, BLM",1,2
Allium gooddingii,GOODING'S ONION,11/10/2010    75 FR 69222,,1999,Y,1997,,,Crustacean,,,USFS,1,1
Astragalus cusickii var. packardiae,PACKARDS MILKVETCH,34540,,2014,,,,,Insect,,,BLM,1,1
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,2014,"Y, Y, N",2006,2006,2016,Amphibian,,,"Montana Department of Fish Wildlife and Parks, USFWS,   BLM,  Montana Fish Wildlife and Parks (MFWP),  Montana Department of Natural Resources and Conservation (DNRC)",3,7
Cimicifuga arizonica,ARIZONA BUGBANE,Both on candidate list until 1993 as C2s. Discontinued as candidates when C2 category eliminated,,1999,Y,1998,,,Fish ,,,"USFS,  USFWS",1,2
Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,29570,,2003,Y,2002,,,Fish,,,"USFS,  USFWS",1,2
Erigeron basalticus,BASALT DAISY,10/30/2001     66 FR 54807,,2007,,2006,,,Bird,,,N/A,0,0
Pseudanophthalmus major,BEAVER CAVE BEETLE,"2/21/1990        55 FR 6183  (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report""; was a C2 from 1980 - 1990))",,2006,,,,,Mammal,,,"Kentucky Ecological Services Field Office,  the owner of the Beaver Cave property,  Kentucky Department of Fish and Wildlife Resources (KDFWR),  Natural Resource Conservation Service (NRCS),  Farm Service Agency (FSA),  Kentucky State Nature Preserves Commission,  Kentucky Division of Forestry",4,7
Opuntia X multigeniculata,BLUE DIAMOND CHOLLA,38111,,2001,Y,2000,,,Flowering Plant,,,BLM,1,7
Phacelia stellaris,BRAND'S PHACELIA,10/25/1999    (64 FR 57534),,2013,?,Jul-13,???,,Insect,,,"California Department of Fish & Game, California Department of Forestry & Fire Protection, California Department of Parks & Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside U.S., BLM, USFWS, USFS, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks",2,21
Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,"9/27/1985; 50 FR 39526 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,2005,Y,2003,,,Flowering Plant,,,"Mississippi Army National Guard, USFS, Mississippi Department of Wildlife, Fisheries and Parks, USFWS",1,4
Synthyris ranunculina,CHARLESTON KITTENTAILS,29570,,1996,N,1998,2000,,Flowering Plant,,"USFS, USFWS","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ",2,13
Castilleja christii,CHRISTÕS PAINTBRUSH,"12/15/1980    45 FR 82480    (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,2012,,wrong paintbrush species doc,,,Bird,,,"USFS,  USFWS",1,2
Astragalus oophorus clokeyanus,CLOKEY'S EGGVETCH,9/19/1997      62 FR 49402,,1998,N,2000,???,,Bird,,"USFS, USFWS","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ",2,13
Rana luteiventris,COLUMBIA SPOTTED FROG - GREAT BASIN DPS,"5/7/1993                      58 FR 27260 (see also 1994 CNOR, 11/15/1994, 59 FR 58982)",,2015,,,,,Amphibian,,,,0,0
Rana luteiventris,COLUMBIA SPOTTED FROG - WASATCH FRONT POPULATION,"5/7/1993                      58 FR 27260 (see also 1994 CNOR, 11/15/1994, 59 FR 58982)",,1998,,,,,Bird,,,,0,0
Rana luteiventris,COLUMBIA SPOTTED FROG - WEST DESERT POPULATION,9/27/1985; 50 FR 39526,,1998,,,,,Snail,,,,0,0
