"","Scientific name","Common name","Conservation Plan_1","type of agreements (source of information)","Who the partners are","number of conservation agreements","total number of partners for species"
"1","Calochortus persistens","SISKIYOU MARIPOSA LILY",NA,"Conservation Agreement","USFS, BLM",1,2
"2","Allium gooddingii","GOODING'S ONION",NA,"CCA","USFS",1,1
"3","Astragalus cusickii var. packardiae","PACKARDS MILKVETCH",NA,"Federal Listings","BLM",1,1
"4","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS",NA,"CCAA,  Dillon Resource Management Plan,  Big Hole River Drought Management Plan","Montana Department of Fish Wildlife and Parks, USFWS, BLM, Montana Department of Natural Resources and Conservation",2,7
"5","Cimicifuga arizonica","ARIZONA BUGBANE",NA,"Conservation Agreement","USFS,  USFWS",1,2
"6","Lupinus aridus ssp. ashlandensis","ASHLAND LUPINE",NA,"CCA","USFS,  USFWS",1,2
"7","Erigeron basalticus","BASALT DAISY",NA,"None",NA,0,0
"8","Pseudanophthalmus major","BEAVER CAVE BEETLE",NA,"A Partners Program 15-year Wildlife Habitat Enhancement Agreement,  CCRP,  WHIP,  LLC","Kentucky Ecological Services Field Office, Owner of the Beaver Cave property,  Kentucky Department of Fish and Wildlife Resources,  Natural Resources Conservation Service,  Farm Service Agency,  Kentucky State Nature Preserves Commission,  Kentucky Division of Forestry",4,7
"9","Opuntia X multigeniculata","BLUE DIAMOND CHOLLA",NA,"HCP","BLM",1,7
"10","Phacelia stellaris","BRAND'S PHACELIA",NA,"HCP,  CCA","California Department of Fish and Game, California Department of Forestry and Fire Protection, California Department of Parks and Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside, BLM, USFWS, USFS, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks",2,21
"11","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH",NA,"CCA","Mississippi Army National Guard, USFS, Mississippi Department of Wildlife Fisheries and Parks, USFWS",1,4
"12","Synthyris ranunculina","CHARLESTON KITTENTAILS",NA,"HCP,  CCA","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City",2,13
"13","Castilleja christii","CHRISTÕS PAINTBRUSH",NA,"CCA","USFS,  USFWS",1,2
"14","Astragalus oophorus clokeyanus","CLOKEY'S EGGVETCH",NA,"HCP,  CCA","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City",2,13
"15","Rana luteiventris","COLUMBIA SPOTTED FROG - GREAT BASIN DPS",NA,"None",NA,0,0
"16","Rana luteiventris","COLUMBIA SPOTTED FROG - WASATCH FRONT POPULATION",NA,"None",NA,0,0
"17","Rana luteiventris","COLUMBIA SPOTTED FROG - WEST DESERT POPULATION",NA,"None",NA,0,0
"18","Polyctenium williamsiae","COMBLEAF",NA,"None",NA,0,0
"19","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE",NA,"CCA,  Indiana Coal Mining Agreement","Indiana Coal Council, Indiana Department of Natural Resources, USFWS, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association, Office of Surface Mining reclamation and Enforcement",1,12
"20","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE",NA,"CCA","Utah Division of Parks and Recreation, BLM, USFWS, Kane County",1,4
"21","Gila bicolor vaccaceps","COW HEAD TUI CHUB",NA,"Conservation Agreement","private landowners of Cow Head Lake, private landowners of Cow Head Slough, private landowners of the California reach of Barrel Creek, California and Modoc County Cattlemen’s Associations, California Farm Bureau Federation, BLM, California Department of Fish and Game",1,8
"22","Downingia concolor brevior","CUYAMAC LAKE DOWNINGIA",NA,"CCA","California Department of Fish and Wildlife, Natural Heritage Division Endangered plant program",1,1
"23","Cymopterus deserticola","DESERT CYMOPTERUS",NA,"HCP,  Integrated Natural Resources Management Plan For Edwards Air Force Base",NA,NA,NA
"24","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD",NA,"CCAA,  CCAA","USFWS, BLM, Center of Excellence for Hazardous Materials Management, Natural Resources Conservation Service, Texas A&M University, Texas Comptroller of Public Accounts, Texas Interagency Task Force on Economic Growth and Endangered Species, Texas Department of Agriculture, Texas Parks and Wildlife Department, Railroad Commission of Texas, University of Texas System - University Lands, Texas Farm Bureau, Texas Oil and Gas Association, Texas Royalty Council, Texas and Southwestern Cattle Raisers Association, Texas Wildlife Association, Texas Association of Business",2,18
"25","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT",NA,"CCA","California Department of Fish and Wildlife, USFS, Eagle Lake Ranger District, USFWS",1,4
"26","Pyrgulopsis notidicola","ELONGATE MUD MEADOW SPRINGSNAIL",NA,"Conservation Plan","Nevada Department of Wildlife, NPS, BLM, USFWS, Nevada Natural Heritage Program, The Nature Conservancy, Desert Research Institute",1,7
"27","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD",NA,"Lower Colorado River Multi-Species Conservation Plan,  CCA","Anza-Borrego State Park, Arizona Game and Fish Department, California Department of Fish and Game, California State Parks, Ocotillo Wells State Vehicular Recreation Area, BLM, U.S. Bureau of Reclamation, USFWS, U.S. Marine Corps Air Station, U.S. Naval Air Facility, U.S. Navy SW Division, The Arizona Department of Water Resources, Arizona Electric Power Cooperative Inc., Arizona Game and Fish Commission, Arizona Power Authority, Central Arizona Water Conservation District, Cibola Valley Irrigation and Drainage District, City of Bullhead City, City of Lake Havasu City, City of Mesa, City of Somerton, City of Yuma, Electrical District No. 3 Pinal County Arizona, Golden Shores Water Conservation District, Mohave County Water Authority, Mohave Valley Irrigation and Drainage District, Mohave Water Conservation District, North Gila Valley Irrigation and Drainage District, Salt River Project Agricultural Improvement and Power District, Town of Fredonia, Town of Thatcher, Town of Wickenburg, Unit ‚ÄúB‚Äù Irrigation and Drainage District, Wellton-Mohawk Irrigation and Drainage District, Yuma County Water Users‚Äô Association; Yuma Irrigation District, Yuma Mesa Irrigation and Drainage District, City of Needles, Coachella Valley Water District, Colorado River Board of California, Imperial Irrigation District, Los Angeles Department of Water and Power, Palo Verde Irrigation District, San Diego County Water Authority, Southern California Edison Company, the Southern California Public Power Authority, Bard Water District, Metropolitan Water District of Southern California, NPS, Bureau of Indian Affairs, Western Area Power Administration (Western), Colorado River Commission of Nevada, Nevada Department of Wildlife, Basic Water Company, Southern Nevada Water Authority",2,53
"28","Ursus americanus floridanus","FLORIDA BLACK BEAR",NA,"USDA Forest Service Land and Resource Management Plan for National Forests in Florida","USFS",1,1
"29","Boechera pusilla","FREMONT COUNTY ROCK CRESS",NA,"Report","BLM, Wyoming Natural Diversity Database",1,2
"30","Dalea tentaculoides","GENTRY'S INDIGOBUSH",NA,"Questions and Answers: Gentry Indigo Bush Not Warranted for Endangered Species Act Protection","USFWS, Tohono O’odham Nation",0,0
