Scientific name,Common name,agreement number ,partner in agreement,Note if plan is management area (and relevance to the species if information is present),Programatic (Y/N),type of partners,doc link,notes on actions taken (from notes tab),Don't know how to categorize action - dump text here,1. Land/Water Management,2. Species Management,3. Awareness raising,4. law enforcement and prosecution,"5. livelihood, economic and moral incentrives",6. Conservation Design and Planning,7. Legal and Policy frameworks,8. Research and monitoring,9. Education and Training,10. Institutional Development,funding ,
Calochortus persistens,SISKIYOU MARIPOSA LILY,doc 1,USFWS,,N,S,https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf, ,,,"Coordinate with the BLM to write and implement a plan for seed storage. / Coordinate with the BLM to write and implement a plan to develop propagation techniques. / Coordinate with the BLM to prepare a population augmentation plan that specifies the conditions warranting introduction and guides the potential introduction of “off-site” Calochortus persistens plant material (seeds, bulbs, or plants) into currently occupied areas or for establishing new wild-land populations.", ,,,,,Coordinate with the KNF to conduct a greenhouse study to determine whether Isatis tinctoria inhibits Calochortus persistens reproduction and whether there is competition between I. tinctoria and C. persistens seedlings.,"Provide technical assistance to the KNF and Medford District of the BLM in the implementation of this agreement, including the design of monitoring elements stated above", ,,
Calochortus persistens,SISKIYOU MARIPOSA LILY,doc 1,BLM,,N,S,https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf, ,,Close the area to OHV use if barriers are not effective or if OHV impacts to C. persistens habitat are extensive.,Coordinate with the Service to write and implement a plan for seed storage. / Coordinate with the Service to write and implement a plan to develop propagation techniques., ,,,,,Survey for additional Calochortus persistens populations in the vicinity of the known location. Document where previous surveys have been conducted to date., ,,,
Calochortus persistens,SISKIYOU MARIPOSA LILY,doc 1,USFS,,N,S,https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf, ,,"Implement weed removal treatments along roads, in fuel breaks, around communication sites, and in other areas adjacent to the existing Calochortus persistens populations in order to reduce the invasion pressure of weeds on the habitat. / Fire Suppression and Succession ", ,,,,"Communication Site Construction, Maintenance, and Use / Coordinate with Mahogany Point and Gunsight Peak Communication Site facility managers and tenants to ensure that communication site plan provisions to protect Calochortus persistens and manage noxious weeds are implemented.", ,"Survey plant population areas in order to determine where Isatis tinctoria and any other noxious weed species occur.  Design and implement test plots to monitor the effect of different weed removal treatments (i.e., pulling, cutting, and herbicides) on I. tinctoria density.", ,,,
Calochortus persistens,SISKIYOU MARIPOSA LILY,doc 1,"USFWS, BLM, USFS", ,N,M,https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf, ,,,,,,,,"Conduct National Environmental Policy Act analysis for conservation actions, as appropriate.", ,,"Coordinate as needed, to review and document activities conducted under this agreement, including new activities that are initiated as a result of adaptive management, and produce monitoring reports that will include the following: / Secure a long-term research partner to conduct research and address conservation needs discussed in this Conservation Agreement. ","Actively seek outside sources of funding and cooperate in cost sharing of habitat improvement projects, monitoring, long-term studies and similar actions specific to this Conservation Agreement, as funding allows.", 
Allium gooddingii,GOODING'S ONION,doc 1 CCA,USFS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/GooddingsOnion/gooddingsonionAgreemen.pdf, ,,Implement conservation action,Implement conservation action,,,, ,Fully involve the Fish and Wildlife Service and interested State agencies during the National Environmental Policy Act process for all projects that may impact Goodding’s onion or its habitat.,"monitoring as specified in the Goodding’s Onion Conservation Assessment and Strategy / Conduct surveys for Goodding’s onion in areas of potential habitat and provide data
to the Fish and Wildlife Service and interested State agencies", ,Conduct surveys for Goodding’s onion in areas of potential habitat and provide data to the Fish and Wildlife Service and interested State agencies, ,
Allium gooddingii,GOODING'S ONION,doc 1 CCA,USFWS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/GooddingsOnion/gooddingsonionAgreemen.pdf, ,,,,,,,,Assess the listing of Goodding’s onion under the Endangered Species Act if biological information indicates the species is likely to become in danger of extinction throughout all or a significant part of its range in the foreseeable future. Listing would follow the rulemaking process, ,Provide technical assistance in the implementation of Forest’s conservation strategies. / ,"Fulfill their administrative responsibilities to oversee the implementation of the Goodding’s Onion conservation strategies, which includes the allocation of staff time for technical supervision and project administration, and the programming of outyear budget needs and botanical skills.",,
Allium gooddingii,GOODING'S ONION,doc 1 CCA,"USFWS, USFS",,N,M,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/GooddingsOnion/gooddingsonionAgreemen.pdf, ,,"Work together under the terms of this conservation agreement to manage, protect, and restore the ecosystems upon which Goodding’s onion and other species depend.", ,,,,,,,,"Annually review implementation of the Forest’s conservation strategies, share data and information, conduct field reviews as needed, and provide recommendations to the Regional Forester and Regional Director on any proposed changes to the strategies or amendments to this conservation agreement. / Meet together as soon as mutually deemed necessary, but at least before the sixth year of this agreement, to review the Forest’s conservation strategies and recommend any changes in their content or implementation. / Fulfill their administrative responsibilities to oversee the implementation of the Goodding’s Onion conservation strategies, which includes the allocation of staff time for technical supervision and project administration, and the programming of outyear budget needs and botanical skills.", ,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Participating landowners, ,Y,P,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,X. OBLIGATIONS OF THE PARTNERS (pages 71-75), ,"Permit the Agencies to conduct an assessment of baseline environmental conditions and land use practices leading to the cooperative development of a comprehensive site-specific plan for their enrolled lands. Implement the site-specific plan which meets the conservation guidelines of this Agreement. /// All the following pertain to management /// 3. As identified in the site-specific plans, Participating Landowners shall cooperatively
implement water conservation measures to improve streamflows, which benefit grayling.
These measures may include, but are not limited to--repairing leaking head gates and
water diversion structures, reducing irrigation withdrawals, complying with water rights
(period of use and amount of water withdrawals), improving irrigation ditches to reduce
water losses, installing and maintaining off-stream livestock watering facilities, and using
alternative less water-intensive livestock forage. / / 5. As identified in the site-specific plan, cooperatively implement conservation measures",0,0,0,0,"Implement the site-specific plan which meets the conservation guidelines of this Agreement. / 4. As identified in the site-specific plan, cooperatively implement riparian habitat
conservation measures that maintain or improve existing conditions on enrolled lands.
These measures may include, but are not limited to--installing and maintaining fences
that manage livestock within or exclude livestock from the riparian zones, installing and
maintaining off-stream livestock watering facilities, replanting or transplanting native
riparian vegetation such as willows, and curtailing or relocating any ranching activities
that degrade riparian habitats.",0,0,0,0,0,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Montana Fish Wildlife and Parks, ,Y,S,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf, ,,"Participate in the implementation of all phases of the Agreement, including, but not limited to- rapid assessment surveys; entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands; and development, negotiation and implementation of site-specific plans.",0,0,0,0,that promote grayling passage and reduce entrainment of fishes in irrigation ditches.,Hold the 10(a)(1)(A) Enhancement of Survival Permit issued under the Agreement,,0,"Participate in the implementation of all phases of the Agreement, including, but not limited to--enrollment of landowners","Actively pursue the funding necessary to implement the Agreement and each site-specific plan. Funding may be provided by a variety of sources including any appropriate Federal, State, and private source but is not guaranteed.", 
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Montana Department of Natural resources and Conservation, ,Y,C,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf, ,,"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to--rapid assessment surveys; entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands; and development, negotiation and implementation of site-specific plans. /// Participate in the development of mutually agreeable site-specific plans in coordination with Participating Landowners, and the other Agencies. Provide expert analyses of water rights and hydrologic issues. Assist in the development of a water-rights database that may assist in the development of site-specific plans. 3. Monitor daily flow in the five flow management segments. Carry out any responsibilities for implementing conservation or other measures assigned to MDNRC under this Agreement and in any site-specific plan. 4. Carry out hydrologic monitoring as assigned to MDNRC under this Agreement and in any site-specific plan. Assist the other Agencies with the evaluation of instream flow recommendations, including professional evaluation of methods, data collection, and analyses. / These measures may include, but are not limited to--installing fish ladders or other",0,0,0,0,"Participate in the development of mutually agreeable site-specific plans in coordination with Participating Landowners, and the other Agencies",0,entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands,0,"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to--enrollment of landowners;",0,  
