Scientific name,Common name,agreement number ,partner in agreement,Note if plan is management area (and relevance to the species if information is present),Programatic (Y/N),type of partners,doc link,notes on actions taken (from notes tab),Don't know how to categorize action - dump text here,1. Land/Water Management,2. Species Management,3. Awareness raising,4. law enforcement and prosecution,"5. livelihood, economic and moral incentrives",6. Conservation Design and Planning,7. Legal and Policy frameworks,8. Research and monitoring,9. Education and Training,10. Institutional Development,funding ,
Calochortus persistens,SISKIYOU MARIPOSA LILY,doc 1,USFWS,,N,S,https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf, ,,,,,,,,,,,,,
Calochortus persistens,SISKIYOU MARIPOSA LILY,doc 1,BLM,,N,S,https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf, ,,,,,,,,,,,,,
Calochortus persistens,SISKIYOU MARIPOSA LILY,doc 1,USFS,,N,S,https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf,LISTING YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Calochortus persistens,SISKIYOU MARIPOSA LILY,doc 1,USFS,,N,S,https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf, ,,"Implement weed removal treatments along roads, in fuel breaks, around communication sites, and in other areas adjacent to the existing Calochortus persistens populations in order to reduce the invasion pressure of weeds on the habitat. / Fire Suppression and Succession ", ,,,,"Communication Site Construction, Maintenance, and Use / Coordinate with Mahogany Point and Gunsight Peak Communication Site facility managers and tenants to ensure that communication site plan provisions to protect Calochortus persistens and manage noxious weeds are implemented.", ,"Survey plant population areas in order to determine where Isatis tinctoria and any other noxious weed species occur.  Design and implement test plots to monitor the effect of different weed removal treatments (i.e., pulling, cutting, and herbicides) on I. tinctoria density.", ,,,
Calochortus persistens,SISKIYOU MARIPOSA LILY,doc 1,"USFWS, BLM, USFS", ,N,M,https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf, ,,,,,,,,,,,,,
Allium gooddingii,GOODING'S ONION,doc 1 CCA,USFS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/GooddingsOnion/gooddingsonionAgreemen.pdf, ,,,NA,,,,,Fully involve the Fish and Wildlife Service and interested State agencies during the National Environmental Policy Act process for all projects that may impact Goodding’s onion or its habitat ,Implement conservation actions and monitoring ,,provide data to the Fish and Wildlife Service and interested State agencies ,,
Allium gooddingii,GOODING'S ONION,doc 1 CCA,USFS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/GooddingsOnion/gooddingsonionAgreemen.pdf, ,,Implement conservation action,Implement conservation action,,,, ,Fully involve the Fish and Wildlife Service and interested State agencies during the National Environmental Policy Act process for all projects that may impact Goodding’s onion or its habitat.,"monitoring as specified in the Goodding’s Onion Conservation Assessment and Strategy / Conduct surveys for Goodding’s onion in areas of potential habitat and provide data
to the Fish and Wildlife Service and interested State agencies", ,Conduct surveys for Goodding’s onion in areas of potential habitat and provide data to the Fish and Wildlife Service and interested State agencies, ,
Allium gooddingii,GOODING'S ONION,doc 1 CCA,USFWS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/GooddingsOnion/gooddingsonionAgreemen.pdf, ,,,,,,,,Assess the listing of Goodding’s onion under the Endangered Species Act if biological information indicates the species is likely to become in danger of extinction throughout all or a significant part of its range in the foreseeable future. Listing would follow the rulemaking process ,,Provide technical assistance in the implementation of Forest’s conservation strategies. ,,,
Allium gooddingii,GOODING'S ONION,doc 1 CCA,USFWS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/GooddingsOnion/gooddingsonionAgreemen.pdf, ,,,,,,,,Assess the listing of Goodding’s onion under the Endangered Species Act if biological information indicates the species is likely to become in danger of extinction throughout all or a significant part of its range in the foreseeable future. Listing would follow the rulemaking process, ,Provide technical assistance in the implementation of Forest’s conservation strategies. / ,"Fulfill their administrative responsibilities to oversee the implementation of the Goodding’s Onion conservation strategies, which includes the allocation of staff time for technical supervision and project administration, and the programming of outyear budget needs and botanical skills.",,
Allium gooddingii,GOODING'S ONION,doc 1 CCA,"USFWS, USFS",,N,M,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/GooddingsOnion/gooddingsonionAgreemen.pdf, ,,"Work together under the terms of this conservation agreement to manage, protect, and restore the ecosystems upon which Goodding’s onion ",,,,,,,,,"Annually review implementation of the Forest’s conservation strategies, share data and information, conduct field reviews as needed, and provide recommendations to the Regional Forester and Regional Director on any proposed changes to the strategies or amendments to this conservation agreement. ",and the programming of outyear budget needs ,
