"","Scientific.name","agreement.number","partner.in.agreement","X1..Land.Water.Management","X2..Species.Management","X3..Awareness.raising","X4..law.enforcement.and.prosecution","X5..livelihood..economic.and.moral.incentrives","X6..Conservation.Design.and.Planning","X7..Legal.and.Policy.frameworks","X8..Research.and.monitoring","X9..Education.and.Training","X10..Institutional.Development","funding","Common.name","type_of_org"
"1","Aliciella caespitosa","doc 1 Conservation agreement","BLM",1,0,0,0,0,1,0,1,1,0,0,"WONDERLAND ALICE-FLOWER","BLM"
"2","Aliciella caespitosa","doc 1 Conservation agreement","NPS",0,0,0,0,0,1,0,1,1,0,0,"WONDERLAND ALICE-FLOWER","FO"
"3","Aliciella caespitosa","doc 1 Conservation agreement","USFS Fishlake National Forest",1,0,0,0,0,1,0,1,1,0,0,"WONDERLAND ALICE-FLOWER","USFS"
"4","Aliciella caespitosa","doc 1 Conservation agreement","USFWS",0,0,0,0,0,1,1,0,1,0,0,"WONDERLAND ALICE-FLOWER","USFWS"
"5","Allium gooddingii","doc 1 CCA","USFS Southwestern Region",1,1,0,0,0,0,1,1,0,1,0,"GOODING'S ONION","USFS"
"6","Allium gooddingii","doc 1 CCA","USFWS Southwest Region",1,0,0,0,0,0,1,0,1,1,0,"GOODING'S ONION","USFWS"
"7","Astragalus anserinus","doc 1","BLM",1,1,0,0,0,0,0,0,0,0,1,"GOOSE CREEK MILKVETCH","BLM"
"8","Astragalus anserinus","doc 1","USFWS",0,0,0,0,0,0,0,0,0,0,1,"GOOSE CREEK MILKVETCH","USFWS"
"9","Castilleja christii","doc 1 CCA","USFS",1,0,1,0,0,1,1,1,0,1,1,"CHRISTÕS PAINTBRUSH","USFS"
"10","Castilleja christii","doc 1 CCA","USFWS",1,1,1,0,0,1,1,1,1,1,0,"CHRISTÕS PAINTBRUSH","USFWS"
"11","Cicindela albissima","doc 1 conservation agreement and strategy","B. Kinsely",1,1,0,0,0,0,0,0,0,0,0,"CORAL PINK SAND DUNES TIGER BEETLE","P"
"12","Cicindela albissima","doc 1 conservation agreement and strategy","BLM Utah State office",1,0,0,0,0,0,0,0,1,0,1,"CORAL PINK SAND DUNES TIGER BEETLE","BLM"
"13","Cicindela albissima","doc 1 conservation agreement and strategy","Coral Pink Sand Dunes State Park",1,0,0,0,0,0,0,0,1,0,1,"CORAL PINK SAND DUNES TIGER BEETLE","SL"
