partner.in.agreement,Scientific.name,Common.name,agreement.number,Programatic..Y.N.,type.of.partners,"type_of_orgORactor(fed agency/division = F, wildlife/state agency = S, private landowner = P, ngo = N, researchers = R, coorporation/industry = c, other unspecifed entity = O)",type_of_org,notes,doc.link,notes.on.actions.taken..from.notes.tab.,Don.t.know.how.to.categorize.action...dump.text.here,X1..Land.Water.Management,X2..Species.Management,X3..Awareness.raising,X4..law.enforcement.and.prosecution,X5..livelihood..economic.and.moral.incentrives,X6..Conservation.Design.and.Planning,X7..Legal.and.Policy.frameworks,X8..Research.and.monitoring,X9..Education.and.Training,X10..Institutional.Development,funding
BLM Dillon Field Office,Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 2 Dillon Resource Management Plan (RMP),N,S,F,BLM,,https://eplanning.blm.gov/epl-front-office/projects/lup/77497/103609/126835/ApprovedPlan.pdf, ,,1,0,0,0,0,1,1,0,0,0,0
Montana Department of Natural Resources and Conservation,Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Y,C,S,SL,,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf, ,,1,0,0,0,0,1,0,1,0,1,0
Montana Fish Wildlife and Parks,Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Y,S,S,SB,,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf, ,,1,0,0,0,0,1,1,0,0,1,1
Natural Resources Conservation Service,Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Y,C,F,FO,,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf, ,,1,0,0,0,0,1,0,1,0,1,1
Participating landowners,Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Y,P,P,P,,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,X. OBLIGATIONS OF THE PARTNERS (pages 71-75), ,1,0,0,0,0,1,0,0,0,0,0
USFWS,Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Y,S,F,USFWS,,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf, ,,0,0,0,0,0,1,1,1,0,1,0
USFS,Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,N,S,F,USFS,,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,1,1,0,0,0,1,0,1,0,1,0
USFWS,Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,N,S,F,USFWS,,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,0,0,0,0,0,0,1,0,1,0,0
"USFWS, BLM ",Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,N,M,,,,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,0,0,0,0,0,0,0,1,0,1,1
USFS,Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,doc 1 conservation agreement,N,S,F,USFS,,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf, ,,1,1,0,0,0,0,0,1,0,0,0
USFWS,Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,doc 1 conservation agreement,N,S,F,USFWS,,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf, ,,0,0,0,0,0,0,0,1,0,1,1
NPS,Erigeron basalticus,BASALT DAISY,doc 1,N,G,F,FO,,https://botanicgardens.uw.edu/wp-content/uploads/sites/7/2014/10/RarePlantPressVolIINo2.pdf,"Under this project, Rare Care is collecting seeds from populations of rare and endemic plants on national parks for long term storage in the Miller Seed Vault. By banking seeds of wild plant populations now, the NPS is safeguarding against the loss of the genetic diversity represented in the populations today and at the same time collecting the genetic material needed for restoring populations of these species once the impacts of global climate change are better understood. Over a two year period, Rare Care will collect seeds from rare plants in Olympic National Park, Mt Rainier National Park, and North Cascades National Park. In 2007, successful collections were made of Cotton’s milkvetch (Astragalus cottonii) from Olympic National Park, green keeled cotton-grass (Eriophorum viridicarinatum) from North Cascades National Park, and Mt. Rainier lousewort (Pedicularis rainierensis) and obscure Indian paintbrush (Castilleja cryptantha) from Mt. Rainier National Park. Additional collections will be made in the 2008 season.",,0,0,0,0,0,1,0,1,0,0,0
Rare Care,Erigeron basalticus,BASALT DAISY,doc 1,N,G,R,R,,https://botanicgardens.uw.edu/wp-content/uploads/sites/7/2014/10/RarePlantPressVolIINo2.pdf, ,,0,1,0,0,0,0,0,0,0,0,0
