"","modified","Scientific.Name.x.x","modified_fixed_FWS","year_listed_or_precluded","fed_shannon_h"
"2","abroniaalpina","Abronia alpina","abroniaalpina","10/8/2015",0.955797840720078
"15","ambrysusfunebris","Ambrysus funebris","ambrysusfunebris","10/8/2015",0.983456250060129
"39","astragaluscusickiivarpackardiae","Astragalus cusickii var. packardiae","astragaluscusickiivarpackardiae","12/5/2014 ",0.413230169766649
"45","astragalusoophorusclokeyanus","Astragalus oophorus clokeyanus","astragalusoophorusclokeyanus","4/2/1998  ",0.861595385547148
"60","boecherapusilla","Boechera pusilla","boecherapusilla","10/25/1999",0.642605523047162
"71","calochortuspersistens","Calochortus persistens","calochortuspersistens","10/8/2015",0.754942357287825
"72","calochortusumpquaensis","Calochortus umpquaensis","calochortusumpquaensis","10/25/1999",0.719262669769605
"85","castillejaelongata","Castilleja elongata","castillejaelongata","4/2/1998  ",NA
"110","cicindelidiahighlandensis","Cicindelidia highlandensis","cicindelidiahighlandensis","10/6/2016",0.317566662987598
"118","cirsiumrhothophilum","Cirsium rhothophilum","cirsiumrhothophilum","9/19/1997 ",0.79589117062994
"120","clarkialingulata","Clarkia lingulata","clarkialingulata","9/19/1997 ",0.999757050451475
"124","collomiarawsoniana","Collomia rawsoniana","collomiarawsoniana","2/28/1996",0.606374928305187
"171","cymopterusdeserticola","Cymopterus deserticola","cymopterusdeserticola","2/28/1996",0.734048203382339
"191","daleatentaculoides","Dalea tentaculoides","daleatentaculoides","4/2/1998  ",0.373011000961522
"198","delphiniumvariegatumthornei","Delphinium variegatum thornei","delphiniumvariegatumthornei","2/28/1996",0.236986805629628
"208","downingiaconcolorbrevior","Downingia concolor brevior","downingiaconcolorbrevior","2/6/1997",0.781612028109427
"233","dudleyablochmaniaebrevifolia","Dudleya blochmaniae brevifolia","dudleyablochmaniaebrevifolia","10/7/1996",0.781612028109427
"234","dudleyablochmaniaeinsularis","Dudleya blochmaniae insularis","dudleyablochmaniaeinsularis","7/31/1997 ",0.329499961522766
"238","dudleyasp","Dudleya sp.","dudleyasp","7/31/1997 ",0.329499961522766
"256","erigeronbasalticus","Erigeron basalticus","erigeronbasalticus","12/6/2007 ",0.350417769728532
"261","eriogonumargophyllum","Eriogonum argophyllum","eriogonumargophyllum","10/25/1999",0.365159580928336
"308","gilabicolorvaccaceps","Gila bicolor vaccaceps","gilabicolorvaccaceps","10/11/2006",0.604080987734165
"315","hazardiaorcuttii","Hazardia orcuttii","hazardiaorcuttii","11/22/2013",0.781612028109427
"388","limnanthesgracilisparishii","Limnanthes gracilis parishii","limnanthesgracilisparishii","2/6/1997",0.96099120077222
"398","lotusargophyllusadsurgens","Lotus argophyllus adsurgens","lotusargophyllusadsurgens","2/28/1996",0.236986805629628
"437","moxostomasp2","Moxostoma sp.","moxostomasp","Under review/Under review/Under review",0.662323554191536
"462","nysiuswekiuicola","Nysius wekiuicola","nysiuswekiuicola","10/26/2011",NA
"486","paysoniastonensis","Paysonia stonensis","paysoniastonensis","5/11/1999 ",0.252922173393652
"491","penstemongrahamii","Penstemon grahamii","penstemongrahamii","8/6/2014  ",0.612244533736087
"547","polemoniumpectinatum","Polemonium pectinatum","polemoniumpectinatum","2/28/1996",0.372230313622821
"548","politesmardon","Polites mardon","politesmardon","9/4/2012  ",0.804171118207903
"569","pseudanophthalmusholsingeri","Pseudanophthalmus holsingeri","pseudanophthalmusholsingeri","5/11/2005 ",0.639457697885761
"571","pseudanophthalmusmajor","Pseudanophthalmus major","pseudanophthalmusmajor","10/11/2006",0
"589","pyrgulopsisnotidicola","Pyrgulopsis notidicola","pyrgulopsisnotidicola","11/21/2012",0.468235997857562
"605","rorippasubumbellata","Rorippa subumbellata","rorippasubumbellata","10/8/2015",0.564356977215336
"638","sidalceacovillei","Sidalcea covillei","sidalceacovillei","2/28/1996",0.983456250060129
"660","stygobromuskenki","Stygobromus kenki","stygobromuskenki","9/29/2017",0.348833876111803
"665","symphyotrichumgeorgianum","Symphyotrichum georgianum","symphyotrichumgeorgianum","9/18/2014 ",1.00649756780126
"666","synthliboramphushypoleucus","Synthliboramphus hypoleucus","synthliboramphushypoleucus","9/21/2016",0.255803663310122
"667","synthyrisranunculina","Synthyris ranunculina","synthyrisranunculina","2/28/1996",1.05036815334664
"694","ursusamericanusfloridanus","Ursus americanus floridanus","ursusamericanusfloridanus","12/8/1998 ",1.222894093488
"706","vulpesvelox","Vulpes velox","vulpesvelox","1/8/2001  ",0.846600271196526
