"","x"
"USFS",26
"BLM",32
"Montana Department of Fish Wildlife and Parks",1
"USFWS",48
"Montana Department of Natural Resources and Conservation",1
"Kentucky Ecological Services Field Office",1
"Owner of the Beaver Cave property",1
"Kentucky Department of Fish and Wildlife Resources",3
"Natural Resources Conservation Service",3
"Farm Service Agency",1
"Kentucky State Nature Preserves Commission",1
"Kentucky Division of Forestry",1
"California Department of Fish and Game",6
"California Department of Forestry and Fire Protection",1
"California Department of Parks and Recreation",2
"Center for Natural Lands Management",1
"City of Riverside Park and Recreation Department",1
"Metropolitan Water District",1
"Riverside County Environmental Programs Department",1
"Riverside County Habitat Conservation Agency",1
"Riverside County Regional Park and Open-Space District",1
"Riverside Land Conservancy",1
"San Diego State University Field Stations Program",1
"The Nature Conservancy",5
"University of California Riverside",1
"US Navy",1
"US Marine Corps",1
"US Customs and Border Protection",1
"California State Parks",2
"Mississippi Army National Guard",1
"Mississippi Department of Wildlife Fisheries and Parks",1
"Nevada Department of Conservation and Natural Resources",2
"Clark County",2
"NPS",7
"Nevada Department of Wildlife",6
"Nevada Department of Transportation",2
"Nevada Division of State Parks",4
"U.S. Air Force",2
"Boulder City",2
"Indiana Coal Council",2
"Indiana Department of Natural Resources",2
"Kentucky Coal Association",2
"Kentucky Coal Country Association",2
"Kentucky Farm Bureau",2
"Kentucky Natural Resources and Environmental Cabinet",2
"Western Kentucky Coal Association;  Office of Surface Mining reclamation and Enforcement",1
"Utah Division of Parks and Recreation",2
"FWS",2
"Kane County",2
"Cow Head Slough",1
"California reach of Barrel Creek",1
"California and Modoc County Cattlemen�s Associations",1
"California Farm Bureau Federation",2
"California Department of Fish and Game (CDFG).",1
"Western Kentucky Coal Association",1
"Office of Surface Mining reclamation and Enforcement",1
"private landowners of Cow Head Lake",1
"private landowners of Cow Head Slough",1
"private landowners of the California reach of Barrel Creek",1
"California and Modoc County Cattlemen’s Associations",1
"California Department of Fish and Wildlife",4
"Eagle Lake Ranger District",1
"National Park Service (NPS)",2
"Nevada Natural Heritage Program (NNHP)",1
"and Desert Research Institute (DRI).",1
"Center of Excellence for Hazardous Materials Management",1
"Texas A&M University",1
"Texas Comptroller of Public Accounts",1
"Texas Interagency Task Force on Economic Growth and Endangered Species",1
"Texas Department of Agriculture",1
"Texas Parks and Wildlife Department",1
"Railroad Commission of Texas",1
"University of Texas System - University Lands",1
"Texas Farm Bureau",1
"Texas Oil and Gas Association",1
"Texas Royalty Council",1
"Texas and Southwestern Cattle Raisers Association",1
"Texas Wildlife Association",1
"Texas Association of Business",1
"Nevada Natural Heritage Program",3
"Desert Research Institute",2
"Anza-Borrego State Park",1
"Arizona Game and Fish Department",3
"Ocotillo Wells",1
"U.S. Bureau of Reclamation",1
"U.S. Marine Corps Air Station",1
"U.S. Naval Air Facility",1
"U.S. Navy SW Division",1
"The Arizona Department of Water Resources",1
"Arizona Electric Power Cooperative Inc.",1
"Arizona Game and Fish Commission",1
"Arizona Power Authority",1
"Central Arizona Water Conservation District",1
"Cibola Valley Irrigation and Drainage District",1
"City of Bullhead City",1
"City of Lake Havasu City",1
"City of Mesa",1
"City of Somerton",1
"City of Yuma",1
"Electrical District No. 3 Pinal County Arizona",1
"Golden Shores Water Conservation District",1
"Mohave County Water Authority",1
"Mohave Valley Irrigation and Drainage District",1
"Mohave Water Conservation District",1
"North Gila Valley Irrigation and Drainage District",1
"Salt River Project Agricultural Improvement and Power District",1
"Town of Fredonia",1
"Town of Thatcher",1
"Town of Wickenburg",1
"Unit ‚ÄúB‚Äù Irrigation and Drainage District",1
"Wellton-Mohawk Irrigation and Drainage District",1
"Yuma County Water Users‚Äô Association; Yuma Irrigation District",1
"Yuma Mesa Irrigation and Drainage District",1
"City of Needles",1
"Coachella Valley Water District",1
"Colorado River Board of California",1
"Imperial Irrigation District",1
"Los Angeles Department of Water and Power",1
"Palo Verde Irrigation District",1
"San Diego County Water Authority",1
"Southern California Edison Company",1
"the Southern California Public Power Authority",1
"Bard Water District",1
"Metropolitan Water District of Southern California",1
"Bureau of Indian Affairs",1
"Western Area Power Administration (Western)",1
"Colorado River Commission of Nevada",1
"Basic Water Company",1
"Southern Nevada Water Authority",2
"Clemson University",2
"Georgia Department of Natural Resources",3
