"","partner.in.agreement","Scientific.name","Common.name","type_of_org","L_W_Man","Sp_Man","Awareness","law","livelihood_econ","ConD&P","Legal","R&M","Edu","IDevelopment","funding"
"1","Anza-Borrego Desert State Park (ABDSP) ","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","SL",0,0,0,0,0,1,0,0,0,0,0
"2","Ocotillo Wells State Vehicular Recreation Area","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","SL",1,0,0,0,0,1,0,0,0,0,1
"3","Bozeman Fish Technology center (USFWS)","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","USFWS",1,0,1,0,0,1,0,0,1,0,1
"7","Participating cooperators","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","P",1,0,0,0,0,1,0,0,0,1,1
"8","Natural Resources Conservation Service","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","FO",1,0,0,0,0,1,0,1,0,1,1
"9","Southern Conservation Corporation","Pseudanophthalmus pholeter","GREATER ADAMS CAVE BEETLE","N",1,0,0,0,0,1,0,0,0,1,0
"10","Southern Conservation Corporation","Pseudanophthalmus catorycetes","Lesser Adams cave bettle ","N",1,0,0,0,0,1,0,0,0,1,0
"11","Colorado Division of Parks and Wildlife","Oncorhynchus clarkii virginalis","RIO GRANDE CUTTHROAT TROUT","SB",1,1,0,0,0,0,0,1,0,1,0
"12","Montana Department of Natural Resources and Conservation","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","SL",1,0,0,0,0,1,0,1,0,1,0
"13","CPSD state park ","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","SL",0,0,0,0,0,0,0,0,0,0,0
"14","New Mexico Department of Game and Fish","Oncorhynchus clarkii virginalis","RIO GRANDE CUTTHROAT TROUT","SW",1,0,0,0,0,0,0,1,0,1,0
"15","BLM","Opuntia X multigeniculata","BLUE DIAMOND CHOLLA","BLM",1,1,0,0,0,1,0,0,0,0,0
"16","BLM","Potentilla basaltica","SOLDIER MEADOW CINQUEFOIL","BLM",0,0,0,0,0,1,0,0,0,0,0
"17","BLM","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","BLM",1,0,0,0,0,1,0,1,1,1,0
"18","NPS","Erigeron basalticus","BASALT DAISY","FO",0,0,0,0,0,1,0,1,0,0,0
"19","Farm Service Agency ","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","FO",0,0,0,0,0,0,0,0,0,1,0
"20","Natural Resources Conservation Service","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","FO",0,0,1,0,1,0,1,1,1,1,0
"21","Indiana Coal Council","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE","N",0,0,0,0,0,1,0,0,0,0,0
"22","The Nature Conservancy ","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","N",1,0,1,0,0,1,0,1,1,1,0
"23","Individual Property HCP Development","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","C",1,1,0,0,0,1,1,0,0,1,0
"24","Rare Care","Erigeron basalticus","BASALT DAISY","R",0,1,0,0,0,0,0,0,0,0,0
"25","Otero County","Euphydryas anicia cloudcrofti","SACRAMENTO MOUNTAINS CHECKERSPOT BUTTERFLY","SG",0,0,0,0,0,0,0,0,0,0,1
