"","BLM","FO","USFS","USFWS","P","SL","SG","R","M","C","SW","N"
"1",1,1,1,1,0,0,0,0,0,0,0,0
"2",0,0,1,1,0,0,0,0,0,0,0,0
"3",1,0,0,1,0,0,0,0,0,0,0,0
"4",0,0,1,1,0,0,0,0,0,0,0,0
"5",1,0,0,1,1,1,1,0,0,0,0,0
"6",1,0,1,1,0,0,0,0,0,0,0,0
"7",0,1,0,0,0,0,0,1,0,0,0,0
"8",0,0,1,1,0,0,1,0,0,0,0,0
"9",0,0,1,1,0,0,0,0,1,0,1,0
"10",0,0,1,1,0,0,1,1,0,0,0,0
"11",1,1,0,1,1,0,0,0,0,1,1,0
"12",1,0,0,0,0,0,0,0,1,0,0,0
"13",0,0,0,1,1,0,0,0,0,0,1,0
"14",0,0,1,1,0,0,0,0,0,0,0,0
"15",0,0,0,1,1,0,0,1,0,1,1,0
"16",0,1,0,1,0,1,0,0,0,0,1,1
"17",0,0,0,1,1,1,0,0,0,0,1,0
"18",0,0,1,1,0,0,0,0,0,0,1,0
"19",0,0,1,1,1,0,1,0,0,1,1,0
"20",1,0,0,0,0,0,0,0,0,0,0,0
"21",1,0,1,1,0,0,0,0,0,0,0,0
"22",1,0,0,1,0,1,1,0,0,0,1,0
"23",0,1,0,1,0,1,0,0,1,0,0,0
"24",1,1,0,1,0,1,0,0,1,0,1,0
"25",1,0,0,1,0,0,0,0,0,0,1,0
"26",0,0,0,1,0,0,0,0,0,0,0,1
"27",0,1,0,1,0,0,0,0,0,0,0,0
"28",0,0,0,1,0,0,0,0,0,0,0,1
"29",0,0,0,1,1,0,0,0,0,0,1,0
"30",1,1,0,1,1,0,0,0,0,0,1,1
"31",0,0,0,1,0,1,0,0,0,1,0,0
"32",0,0,1,1,0,0,0,0,0,0,1,0
"33",0,0,0,1,0,0,0,0,0,0,1,1
"34",1,1,0,1,1,1,0,0,0,0,1,0
"35",0,0,0,1,1,0,1,0,0,0,1,0
"36",1,1,0,1,0,1,0,0,0,1,1,1
"37",0,1,0,1,1,1,0,1,1,0,0,0
