"","partner.in.agreement","Scientific.name","Common.name","agreement.number","Programatic..Y.N.","type.of.partners","doc.link","notes.on.actions.taken..from.notes.tab.","Don.t.know.how.to.categorize.action...dump.text.here","X1..Land.Water.Management","X2..Species.Management","X3..Awareness.raising","X4..law.enforcement.and.prosecution","X5..livelihood..economic.and.moral.incentrives","X6..Conservation.Design.and.Planning","X7..Legal.and.Policy.frameworks","X8..Research.and.monitoring","X9..Education.and.Training","X10..Institutional.Development","funding"
"120"," Sierra Pacific Industries","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","S","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"63","??","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","doc 1 b CCAA","","M?","","","Technical assistance is available from the NRCS and FWS to develop plans to improve and maintain habitat for the LPC and/or SDL.","0","0","0","0","0","0","0","0","0","0","0"
"124","??Redband Core Group (unspecified who makes up)","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","M","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf","The Redband Core Group is a collection of agency and private landowner representatives charged with the management and protection of the McCloud redband trout","","0","0","0","0","0","1","0","1","0","1","0"
"73","** I think this refers to all: ICC Interagency Coordinating Committee","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"159","366th wing","Lepidium papilliferum","SLICKSPOT PEPPERGRASS","doc 2 Integrated Natrual Resource Mangagement Plan ","N","","","","","0","1","0","0","0","0","0","0","0","0","0"
"158","Air force, BLM, ???","Lepidium papilliferum","SLICKSPOT PEPPERGRASS","doc 2 Integrated Natrual Resource Mangagement Plan ","N","M","","","","0","1","0","0","0","0","0","0","0","0","0"
"204","Alcoa Power Generating Inc","Solidago plumosa","YADKIN RIVER GOLDENROD","doc 1 cca","N","P","https://www.fws.gov/asheville/pdfs/Yadkin-River-Goldenrod_CCA_07-12-2013.pdf"," ","","1","0","1","0","0","0","0","1","0","1","0"
"80","ALL (all parties)","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","1","0","0","1","0","1","1","1","1","1","0"
"60","All parties","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","doc 1 b CCAA","Y","M","https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf"," ","","0","0","0","0","0","0","1","0","0","1","1"
"69","Anza-Borrego Desert State Park (ABDSP) ","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","?","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","1","0","0","0","0","0"
"70","Arizona Game and Fish Department","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","S","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf","See appendix 1, page 83 - seems like there are sub categories of involved parties and management groups… but spelt out explicitly in doc.. Anyway need to categorize and make sure explictly saying why doing so (based on different parts of doc)","","0","0","0","0","0","0","0","0","0","0","0"
"135","Arizona Game and Fish Department","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL","doc 1 CCAA","Y","S","https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/PageSpringsnail/Page%20springsnail%20CCAA_Final_Wsignature.pdf"," ","","1","1","0","0","0","0","0","0","0","0","0"
"194","Arizona Game and Fish Department","Sonorella macrophallus","WET CANYON TALUSSNAIL","doc 1 Conservation Assessment and Strategy","N","","","","","0","0","0","0","0","0","0","1","0","0","0"
"138","Arizona Game and Fish Department, USFWS ","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL","doc 1 CCAA","Y","M","https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/PageSpringsnail/Page%20springsnail%20CCAA_Final_Wsignature.pdf"," ","","0","0","0","0","0","0","0","1","0","1","0"
"39","B. Kinsely ","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","doc 1 conservation agreement and strategy ","??","P","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf"," ","","1","1","0","0","0","0","0","0","0","0","0"
"2","BLM","Calochortus persistens","SISKIYOU MARIPOSA LILY","doc 1","N","S","https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf"," ","","1","1","0","0","0","0","0","1","0","0","0"
"13","BLM","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","doc 2 Dillon Resource Management Plan (RMP)","N","S","https://eplanning.blm.gov/epl-front-office/projects/lup/77497/103609/126835/ApprovedPlan.pdf"," ","","1","0","0","0","0","1","1","0","0","0","0"
"21","BLM","Opuntia X multigeniculata","BLUE DIAMOND CHOLLA","doc 1 HCP","N","G","http://www.clarkcountynv.gov/airquality/dcp/Documents/Library/current%20HCP/cc-appa.pdf"," "," ","1","1","0","0","0","1","0","0","0","0","0"
"43","BLM","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","doc 1 conservation agreement and strategy ","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"49","BLM","Cymopterus deserticola","DESERT CYMOPTERUS","doc 1 Appendix B Chapter","","G","https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-2-Complete-Bookmarks.pdf"," ","","0","1","0","0","0","0","0","1","0","0","0"
"55","BLM","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","doc 1 a CCA","","S","https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf"," ","","0","0","0","0","0","0","1","1","0","0","0"
"71","BLM","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","S","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","1","0","0","0","0","1","0","0","0","0","0"
"93","BLM","Astragalus anserinus","GOOSE CREEK MILKVETCH","doc 1 ","","S","https://www.fws.gov/utahfieldoffice/Documents/Goosecreek_milkvetch/latestnewswebpageforgoosecreekmilkvetch/Goose%20Creek%20milkvetch%20Conservation%20Agreement.pdf"," ","","1","1","0","0","0","0","0","0","0","0","1"
"102","BLM","Pediocactus paradinei","KAIBAB PLAINS CACTUS","doc 2","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1452.pdf"," ","","1","0","0","0","0","0","0","0","0","0","0"
"106","BLM","Iotichthys phlegethontis","LEAST CHUB","doc 1","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf"," ","","1","1","0","0","0","0","0","1","0","1","0"
