"","Var1","V2","bars_by_foo"
"1","BLM",1,"Aliciella caespitosa, Astragalus anserinus, Cimicifuga arizonica, Lepidium papilliferum, Opuntia X multigeniculata, Pediocactus paradinei, Phrynosoma mcallii, Potentilla basaltica, Sceloporus arenicolus, Urocitellus washingtoni"
"2","Bureau of Reclamation",1,"Iotichthys phlegethontis, Phrynosoma mcallii"
"3","California Department of Fish and Game",1,"Oncorhynchus mykiss ssp., Phrynosoma mcallii"
"4","California State Parks",1,"Phacelia stellaris, Phrynosoma mcallii"
"5","Anza-Borrego Desert State Park",1,"Phrynosoma mcallii"
"6","Arizona Game and Fish Department",1,"Phrynosoma mcallii, Pyrgulopsis morrisoni, Sonorella macrophallus"
"7","BLM El Centro",1,"Phrynosoma mcallii"
"8","BLM Palm Springs",1,"Phrynosoma mcallii"
"9","BLM Yuma",1,"Phrynosoma mcallii"
"10","California Department of Parks and Recreation",1,"Phrynosoma mcallii"
"11","Ocotillo Wells State Vehicular Recreation Area",1,"Phrynosoma mcallii"
"12","U.S. Marine Corps",1,"Phrynosoma mcallii"
"13","U.S. Navy",1,"Phrynosoma mcallii"
"14","US Bureau of Reclamation Yuma",1,"Phrynosoma mcallii"
"15","US Marine Corps Air Station Yuma",1,"Phrynosoma mcallii"
"16","US Naval Air Facility El Centro",1,"Phrynosoma mcallii"
"17","US Navy SW Division",1,"Phrynosoma mcallii"
"18","USFWS Carlsbad",1,"Phrynosoma mcallii"
"19","USFWS Phoenix",1,"Phrynosoma mcallii"
"20","NPS",2,"Aliciella caespitosa, Erigeron basalticus, Pseudanophthalmus inexpectatus"
"21","USFS Fishlake National Forest",2,"Aliciella caespitosa"
"22","Rare Care",2,"Erigeron basalticus"
"23","USFWS",3,"Aliciella caespitosa, Astragalus anserinus, Castilleja christii, Cimicifuga arizonica, Horkelia hendersonii, Iotichthys phlegethontis, Lupinus aridus ssp. ashlandensis, Moxostoma, Nerodia erythrogaster neglecta, Pediocactus paradinei, Phrynosoma mcallii, Potentilla basaltica, Pseudanophthalmus catorycetes, Pseudanophthalmus inexpectatus, Pseudanophthalmus pholeter, Pyrgulopsis morrisoni, Sceloporus arenicolus, Sylvilagus transitionalis, Thymallus arcticus, Urocitellus endemicus, Urocitellus washingtoni, Zaitzevia thermae"
"24","DOI Office of Surface MIning reclamation and Enforcement",3,"Nerodia erythrogaster neglecta"
"25","Indiana Coal Council",3,"Nerodia erythrogaster neglecta"
"26","Kentucky Coal Association",3,"Nerodia erythrogaster neglecta"
"27","Kentucky Department of Fish and Wildlife Resources",3,"Nerodia erythrogaster neglecta"
"28","Kentucky Farm Bureau",3,"Nerodia erythrogaster neglecta"
"29","Western Kentucky Coal Association",3,"Nerodia erythrogaster neglecta"
"30","Illinois Department of Natural Resources",3,"Nerodia erythrogaster neglecta"
"31","Indiana Department of Natural Resources",3,"Nerodia erythrogaster neglecta"
"32","Kentucky Natural Resources and Environmental Cabinet",3,"Nerodia erythrogaster neglecta"
"33","USFS Southwestern Region",4,"Allium gooddingii"
"34","USFWS Southwest Region",4,"Allium gooddingii, Sceloporus arenicolus"
"35","New Mexico Department of Game and Fish",4,"Oncorhynchus clarkii virginalis, Sceloporus arenicolus"
"36","USFWS Albuquerque New Mexico Ecological Services Field Office",4,"Oncorhynchus clarkii virginalis"
"37","Center of Excellence for Hazardous Materials Management (CEHMM)",4,"Sceloporus arenicolus"
"38","Participating cooperators",4,"Sceloporus arenicolus"
"39","NRCS",4,"Sceloporus arenicolus"
"40","Participating landowners",4,"Sceloporus arenicolus, Thymallus arcticus"
"41","Vermejo Park Ranch",4,"Oncorhynchus clarkii virginalis"
"42","Colorado Division of Parks and Wildlife",4,"Oncorhynchus clarkii virginalis"
"43","B. Kinsely",5,"Cicindela albissima"
"44","BLM Utah State office",5,"Cicindela albissima"
"45","Coral Pink Sand Dunes State Park",5,"Cicindela albissima"
"46","Kane County",5,"Cicindela albissima"
"47","USFWS Utah Field Office",5,"Cicindela albissima"
"48","Utah Department of Parks and Recreation",5,"Cicindela albissima"
"49","Otero County",6,"Euphydryas anicia cloudcrofti"
"50","USFS Lincoln National Forest",6,"Euphydryas anicia cloudcrofti"
"51","USFWS Ecological Services New Mexico Field Office",6,"Euphydryas anicia cloudcrofti"
"52","Village of Cloudcroft",6,"Euphydryas anicia cloudcrofti"
"53","Mississippi Army National Guard",7,"Fallicambarus gordoni"
"54","Mississippi National Guard",7,"Fallicambarus gordoni"
"55","USFS DeSoto National Forest",7,"Fallicambarus gordoni"
"56","USFWS Southeast Region",7,"Fallicambarus gordoni"
"57","Mississippi Department of Wildlife & Mississippi Museum of Natural Sciences",7,"Fallicambarus gordoni"
"58","USFS",8,"Castilleja christii, Cimicifuga arizonica, Horkelia hendersonii, Lupinus aridus ssp. ashlandensis, Pediocactus paradinei"
"59","Oregon Natural Heritage Program",8,"Horkelia hendersonii"
"60","Oregon Plant Conservation Program",8,"Horkelia hendersonii"
