"","Var1","V2","bars_by_foo"
"1","BLM",1,"Aliciella caespitosa, Astragalus anserinus, Cimicifuga arizonica, Lepidium papilliferum, Opuntia X multigeniculata, Pediocactus paradinei, Phrynosoma mcallii, Potentilla basaltica, Sceloporus arenicolus, Urocitellus washingtoni"
"2","NPS",1,"Aliciella caespitosa, Erigeron basalticus, Pseudanophthalmus inexpectatus"
"3","USFS Fishlake National Forest",1,"Aliciella caespitosa"
"4","USFWS",1,"Aliciella caespitosa, Astragalus anserinus, Castilleja christii, Cimicifuga arizonica, Horkelia hendersonii, Iotichthys phlegethontis, Lupinus aridus ssp. ashlandensis, Moxostoma, Nerodia erythrogaster neglecta, Pediocactus paradinei, Phrynosoma mcallii, Potentilla basaltica, Pseudanophthalmus catorycetes, Pseudanophthalmus inexpectatus, Pseudanophthalmus pholeter, Pyrgulopsis morrisoni, Sceloporus arenicolus, Sylvilagus transitionalis, Thymallus arcticus, Urocitellus endemicus, Urocitellus washingtoni, Zaitzevia thermae"
"5","USFS Southwestern Region",1,"Allium gooddingii"
"6","USFWS Southwest Region",1,"Allium gooddingii, Sceloporus arenicolus"
"7","New Mexico Department of Game and Fish",1,"Oncorhynchus clarkii virginalis, Sceloporus arenicolus"
"8","Center of Excellence for Hazardous Materials Management (CEHMM)",1,"Sceloporus arenicolus"
"9","Participating cooperators",1,"Sceloporus arenicolus"
"10","NRCS",1,"Sceloporus arenicolus"
"11","Participating landowners",1,"Sceloporus arenicolus, Thymallus arcticus"
"12","Montana Department of Natural Resources and Conservation",1,"Thymallus arcticus"
"13","Natural Resources Conservation Service",1,"Thymallus arcticus, Urocitellus washingtoni"
"14","Farm Service Agency",1,"Urocitellus washingtoni"
"15","Individual Property HCP Development",1,"Urocitellus washingtoni"
"16","The Nature Conservancy",1,"Urocitellus washingtoni"
"17","Washington State Department of Fish and Wildlife",1,"Urocitellus washingtoni"
"18","Washington State Department of Natural Resources",1,"Urocitellus washingtoni"
"19","Oregon Department of Fish and Wildlife",1,"Urocitellus washingtoni"
"20","Portland General Electric",1,"Urocitellus washingtoni"
"21","BLM Dillon Field Office",1,"Thymallus arcticus"
"22","Nevada Division of Wildlife",1,"Potentilla basaltica"
"23","Southern Conservation Corporation",1,"Pseudanophthalmus catorycetes, Pseudanophthalmus pholeter"
"24","Threemile Canyon Farms",1,"Urocitellus washingtoni"
"25","BLM Provo Area Office",2,"Iotichthys phlegethontis"
"26","Central Utah Water Conservancy District",2,"Iotichthys phlegethontis"
"27","Confederated tribes of the goshute reservation",2,"Iotichthys phlegethontis"
"28","Southern Nevada Water Authority",2,"Iotichthys phlegethontis"
"29","Utah Division of Wildlife Resources",2,"Iotichthys phlegethontis, Penstemon scariosus albifluvis"
"30","Utah Reclamation Mitigation and Conservation Commission",2,"Iotichthys phlegethontis"
"31","Bureau of Reclamation",3,"Iotichthys phlegethontis, Phrynosoma mcallii"
"32","California Department of Fish and Game",3,"Oncorhynchus mykiss ssp., Phrynosoma mcallii"
"33","California State Parks",3,"Phacelia stellaris, Phrynosoma mcallii"
"34","Anza-Borrego Desert State Park",3,"Phrynosoma mcallii"
"35","Arizona Game and Fish Department",3,"Phrynosoma mcallii, Pyrgulopsis morrisoni, Sonorella macrophallus"
"36","BLM El Centro",3,"Phrynosoma mcallii"
"37","BLM Palm Springs",3,"Phrynosoma mcallii"
"38","BLM Yuma",3,"Phrynosoma mcallii"
"39","California Department of Parks and Recreation",3,"Phrynosoma mcallii"
"40","Ocotillo Wells State Vehicular Recreation Area",3,"Phrynosoma mcallii"
"41","U.S. Marine Corps",3,"Phrynosoma mcallii"
"42","U.S. Navy",3,"Phrynosoma mcallii"
"43","US Bureau of Reclamation Yuma",3,"Phrynosoma mcallii"
"44","US Marine Corps Air Station Yuma",3,"Phrynosoma mcallii"
"45","US Naval Air Facility El Centro",3,"Phrynosoma mcallii"
"46","US Navy SW Division",3,"Phrynosoma mcallii"
"47","USFWS Carlsbad",3,"Phrynosoma mcallii"
"48","USFWS Phoenix",3,"Phrynosoma mcallii"
"49","unspecified landowner",3,"Pyrgulopsis morrisoni"
"50","Bozeman Fish Technology center (USFWS)",4,"Zaitzevia thermae"
"51","EPA",4,"Zaitzevia thermae"
"52","Montana State University",4,"Zaitzevia thermae"
"53","neighboring land owners",4,"Zaitzevia thermae"
"54","U.S. Army Corps of Engineers",4,"Zaitzevia thermae"
"55","Montana Fish Wildlife and Parks",4,"Thymallus arcticus, Zaitzevia thermae"
