"","rowname","cent"
"1","USFS Southwestern Region",0
"2","Montana Department of Fish Wildlife and Parks",0
"3","BLM Dillon Field Office",0
"4","Montana Department of Natural Resources and Conservation",0
"5","Beaverhead County",0
"6","USFS Coconino National Forest",0
"7","USFS Kaibab National Forest",0
"8","USFS Tonto National Forest",0
"9","USFS Rouge River NF",0
"10","USFS Klamath National Forest",0
"11","USFS Scott River and Oak Knoll Ranger Districts",0
"12","Kentucky Ecological Services Field Office",0
"13","Owner of the Beaver Cave property",0
"14","Kentucky State Nature Preserves Commission",0
"15","California Department of Forestry and Fire Protection",0
"16","City of Riverside Park and Recreation Department",0
"17","Metropolitan Water District",0
"18","Riverside County Environmental Programs Department",0
"19","Riverside County Habitat Conservation Agency",0
"20","Riverside County Regional Park and Open-Space District",0
"21","Riverside Land Conservancy",0
"22","San Diego State University Field Stations Program",0
"23","University of California Riverside",0
"24","USFWS Carlsbad Fish and Wildlife Office",0
"25","US Navy",0
"26","US Marine Corps",0
"27","US Customs and Border Protection",0
"28","Mississippi Army National Guard",0
"29","USFS DeSoto National Forest",0
"30","Mississippi Department of Wildlife Fisheries and Parks",0
"31","USFS Minidoka Ranger District",0
"32","USFS Sawtooth National Forest",0
"33","Nevada Department of Conservation and Natural Resources",0
"34","Clark County",0
"35","Nevada Department of Transportation",0
"36","U.S. Air Force",0
"37","Illinois Department of Natural Resources",0
"38","Indiana Department of Natural Resources",0
"39","Kentucky Coal Association",0
"40","Kentucky Coal Country Association",0
"41","Kentucky Farm Bureau",0
"42","Kentucky Natural Resources and Environmental Cabinet",0
"43","Western Kentucky Coal Association",0
"44","Utah Division of Parks and Recreation",0
"45","BLM Utah State office",0
"46","private landowners of Cow Head Lake Cow Head Slough and California reach of Barrel Creek (four owners all CA signatories)",0
"47","principal permittees on BLM lands within the drainage",0
"48","California and Modoc County Cattlemen's Associations",0
"49","the California Farm Bureau Federation",0
"50","California Department of Fish and Wildlife Natural Heritage Division Endangered plant program",0
"51","Center of Excellence for Hazardous Materials Management",0
"52","Texas A&M University",0
"53","Texas Comptroller of Public Accounts",0
"54","Texas Interagency Task Force on Economic Growth and Endangered Species",0
"55","Texas Department of Agriculture",0
"56","Texas Parks and Wildlife Department",0
"57","Railroad Commission of Texas",0
"58","University of Texas System - University Lands",0
"59","Texas Farm Bureau",0
"60","Texas Oil and Gas Association",0
"61","Texas Royalty Council",0
"62","Texas and Southwestern Cattle Raisers Association",0
"63","Texas Wildlife Association",0
"64","California Department of Fish and Wildlife Northern region",0
"65","USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest",0
"66","California Department of Parks and Recreation Anza Borrego Desert State Park",0
"67","BLM El Centro",0
"68","BLM Palm Springs",0
"69","BLM Yuma District",0
"70","BLM California Desert District",0
"71","Bureau of Reclamation Yuma",0
"72","USFWS Carlsbad Field Office",0
"73","USFWS Phoenix Field Office",0
"74","US Marine Corps Air Station Yuma",0
"75","US Naval Air Facility-El Centro",0
"76","US Navy SW Division San Diego",0
"77","Arizona Game and Fish",0
"78","California Department of Parks and Recreation Off-Highway Motor Vehicle Division Ocotillo Wells State Recreational Vehicle Area",0
"79","Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado",0
"80","Reserva de la Biosfera el Pinacate y Gran Desierto de Altar",0
"81","Alabama Natural Heritage Program",0
"82","Georgia Natural Heritage Program",0
"83","North Carolina Natural Heritage Program",0
"84","South Carolina Natural Heritage Program",0
"85","Atlanta Botanical Garden",0
"86","North Carolina Botanical Garden",0
"87","State Botanical Garden of Georgia",0
"88","The Citadel",0
"89","BLM Utah",0
"90","USFS Rouge River National Forest",0
"91","Utah Department of Natural Resources",0
"92","BLM Provo Area Office",0
"93","Bureau of Reclamation Upper Colorado Region",0
"94","Utah Reclamation Mitigation and Conservation Commission",0
"95","Confederated Tribes of the Goshute Reservation",0
"96","Central Utah Water Conservancy District",0
"97","USFWS Sacramento Fish and Wildlife office",0
"98","USFS Shasta Trinity National Forest",0
"99","John Hancock Mutual Life Insurace Company",0
"100","Bob McIntsh (Private landowner)",0
"101","Sierra Pacific Industries",0
"102","Hearest Corporation",0
"103","California Department of Transportation (caltrans)",0
"104","Department of Forest and Rangeland Stewardship Colorado State University",0
"105","Mashpee Wampanoag Tribe",0
"106","Lyme Land Conservation Trust",0
"107","American Forest Foundation",0
"108","Woodcock Limited",0
"109","WCS Queens Zoo",0
"110","Wells National Esturarine Research Reserve",0
"111","Roger Williams Park Zoo",0
"112","Audubon Connecticut",0
"113","Connecticut Audubon Society",0
"114","Open Space Institute",0
"115","Audubon New York",0
"116","Quail Forever",0
"117","Pheasants Forever",0
"118","Doris Duke Charitable Foundation",0
"119","Wildlife Conservation Society",0
"120","Amrican Bird Conservancy",0
"121","Quality Deer Management Association",0
"122","Sustainable Forestry Initiative",0
"123","White Memorial Foundation",0
"124","National Fish and Wildlife Foundation",0
"125","Ruffed Grouse Society/American Woodcock Society",0
"126","National Wild Turkey Federation",0
"127","Wildlife Management Institute",0
"128","New Engalnd Cottontail Conservation Initiative",0
"129","Northeast Forest and Fire Management",0
"130","Lyme Timber Company",0
"131","Monterey Preservation Land Trust",0
"132","Narrow River Land Trust",0
"133","Nantucket Conservation Foundation",0
"134","Scarborough Land Trust",0
"135","Avalonia Land Conservancy",0
"136","Orenda Wildlife Land Trust",0
"137","Trustees of Reservations",0
"138","Berkshire Natural Resources Council",0
"139","York Land Trust",0
"140","Becket Land Trust",0
"141","Trust for Public Land",0
"142","Massachusetts National Guard",0
"143","New York Division of Fish Wildlife and Marine Resources",0
"144","Northeast Association of Fish and Wildlife Agencies",0
"145","Rhode Island Division of Fish and Wildlife",0
"146","Connecticute Department of Energy and Environmental Protection",0
"147","Massachusetts Division of Fisheries and Wildlife",0
"148","New Hampshire Fish and Game Department",0
"149","Maine Department of Inland Fisheries and Wildlife",0
"150","University of Rhode Island College of Envionment and Life Sciences",0
"151","University of New Hampshire",0
"152","University of New Hampshire Cooperative Extenson",0
"153","City of NCCP",0
"154","City of Carlsbad",0
"155","City of San Marcos",0
"156","USFWS Region 2",0
"157","Arizona Ecological Services Field Office",0
"158","unspecified landowners",0
"159","Yavapai County",0
"160","USFWS Southern Nevada Fish and Wildlife Office",0
"161","Colorado Parks and Wildlife",0
"162","New Mexico Department of Game and Fish",0
"163","USFWS Albuquerque New Mexico Ecological Services Field Office",0
"164","Mescalero Apache Nation",0
"165","Jicarilla Apache Nation",0
"166","Taos Pueblo",0
"167","Trout Unlimited",0
"168","Vermejo Park Ranch",0
"169","Otero County",0
"170","USFWS Ecological Services New Mexico Field Office",0
"171","USFS Lincoln National Forest",0
