"","rowname","vector"
"1","USFWS",1
"2","NRCS",0.972689814037777
"3","USGS",0.961053883439003
"4","New Engalnd Cottontail Conservation Initiative",0.947933657065569
"5","Trust for Public Land",0.947933657065569
"6","American Forest Foundation",0.947933657065569
"7","Connecticut Audubon Society",0.947933657065569
"8","New Hampshire Fish and Game Department",0.947933657065569
"9","University of New Hampshire",0.947933657065569
"10","Pheasants Forever",0.947933657065568
"11","Northeast Forest and Fire Management",0.947933657065568
"12","Lyme Timber Company",0.947933657065568
"13","Orenda Wildlife Land Trust",0.947933657065568
"14","Trustees of Reservations",0.947933657065568
"15","White Memorial Foundation",0.947933657065568
"16","National Fish and Wildlife Foundation",0.947933657065568
"17","Monterey Preservation Land Trust",0.947933657065568
"18","Scarborough Land Trust",0.947933657065568
"19","York Land Trust",0.947933657065568
"20","Northeast Association of Fish and Wildlife Agencies",0.947933657065568
"21","Rhode Island Division of Fish and Wildlife",0.947933657065568
"22","Connecticute Department of Energy and Environmental Protection",0.947933657065568
"23","Massachusetts Division of Fisheries and Wildlife",0.947933657065568
"24","University of Rhode Island College of Envionment and Life Sciences",0.947933657065568
"25","University of New Hampshire Cooperative Extenson",0.947933657065568
"26","EDF",0.947933657065568
"27","Lyme Land Conservation Trust",0.947933657065568
"28","Wells National Esturarine Research Reserve",0.947933657065568
"29","Amrican Bird Conservancy",0.947933657065568
"30","Sustainable Forestry Initiative",0.947933657065568
"31","Berkshire Natural Resources Council",0.947933657065568
"32","Woodcock Limited",0.947933657065568
"33","WCS Queens Zoo",0.947933657065568
"34","Audubon Connecticut",0.947933657065568
"35","Open Space Institute",0.947933657065568
"36","Audubon New York",0.947933657065568
"37","Quail Forever",0.947933657065568
"38","Quality Deer Management Association",0.947933657065568
"39","National Wild Turkey Federation",0.947933657065568
"40","Narrow River Land Trust",0.947933657065568
"41","Nantucket Conservation Foundation",0.947933657065568
"42","Avalonia Land Conservancy",0.947933657065568
"43","Wildlife Management Institute",0.947933657065568
"44","Becket Land Trust",0.947933657065568
"45","Massachusetts National Guard",0.947933657065568
"46","Maine Department of Inland Fisheries and Wildlife",0.947933657065568
"47","Mashpee Wampanoag Tribe",0.947933657065567
"48","Roger Williams Park Zoo",0.947933657065567
"49","Doris Duke Charitable Foundation",0.947933657065567
"50","Ruffed Grouse Society/American Woodcock Society",0.947933657065567
"51","New York Division of Fish Wildlife and Marine Resources",0.947933657065567
"52","Wildlife Conservation Society",0.947933657065567
"53","BLM",0.0730484543254174
"54","The Nature Conservancy",0.0645212890966111
"55","NPS",0.0596731790216746
"56","Farm Service Agency",0.0504856239931495
"57","Utah School and Institutional Trust Lands Administration",0.0480182209941451
"58","Utah Governors Public Lands Policy Coordination Office",0.0480182209941451
"59","Uintah County",0.048018220994145
"60","Rio Blanco County",0.048018220994145
"61","Utah Division of Wildlife Resources",0.048018220994145
"62","Washington State Department of Natural Resources",0.0479155292327192
"63","Washington State Department of Fish and Wildlife",0.0479155292327192
"64","Portland General Electric",0.0479155292327191
"65","agricultural landowners and other stakeholders",0.0479155292327191
"66","Threemile Canyon Farms",0.0479155292327191
"67","South Douglas Conservation District",0.0479155292327191
"68","Foster Creek Conservation District",0.047915529232719
"69","USFS",0.0459313258976464
"70","Kentucky Department of Fish and Wildlife Resources",0.0450459543970062
"71","BLM Dillon Field Office",0.0418875616872722
"72","Madison County",0.0418875616872722
"73","Montana Department of Fish Wildlife and Parks",0.0418875616872722
"74","Montana Department of Natural Resources and Conservation",0.0418875616872722
"75","Beaverhead County",0.0418875616872721
"76","Georgia Department of Natural Resources",0.0348698517891278
"77","Georgia Power",0.0332176929887406
"78","Mecklenburg County Park and Recreation North Carolina",0.0332176929887406
"79","Clemson University",0.0332176929887405
"80","Georgia Department of Transportation",0.0332176929887404
"81","North Carolina Department of Agriculture & Consumer Services Plant Conservation Program",0.0332176929887404
"82","North Carolina Botanical Garden",0.0318154736111009
"83","State Botanical Garden of Georgia",0.0318154736111009
"84","The Citadel",0.0318154736111009
"85","Georgia Natural Heritage Program",0.0318154736111009
"86","North Carolina Natural Heritage Program",0.0318154736111009
"87","Atlanta Botanical Garden",0.0318154736111009
"88","Army Corps of Engineers",0.0318154736111009
"89","Alabama Natural Heritage Program",0.0318154736111008
"90","South Carolina Natural Heritage Program",0.0318154736111007
"91","California Department of Parks and Recreation",0.0315293110689834
"92","Nevada Division of State Parks",0.0315020534558426
"93","Nevada Natural Heritage Program",0.0306884120649116
"94","California Department of Fish and Game",0.0287949195124329
"95","Nevada Department of Wildlife",0.0286259416262134
"96","USFWS Southwest Region",0.0282017842851043
"97","Center of Excellence for Hazardous Materials Management",0.0281911892082466
"98","Texas A&M University",0.0281911892082466
"99","Texas Comptroller of Public Accounts",0.0281911892082466
"100","Texas Interagency Task Force on Economic Growth and Endangered Species",0.0281911892082466
"101","Texas Department of Agriculture",0.0281911892082466
"102","Texas Farm Bureau",0.0281911892082466
"103","Texas Wildlife Association",0.0281911892082466
"104","Texas Parks and Wildlife Department",0.0281911892082465
"105","University of Texas System - University Lands",0.0281911892082465
"106","Texas and Southwestern Cattle Raisers Association",0.0281911892082465
"107","Texas Association of Business",0.0281911892082465
"108","Railroad Commission of Texas",0.0281911892082465
"109","Texas Royalty Council",0.0281911892082465
"110","Texas Oil and Gas Association",0.0281911892082464
"111","Center for Natural Lands Management",0.0280189125378164
"112","Private entities",0.0278721023621127
"113","Enefit American Oil",0.0278721023621127
"114","BLM Vernal Field Office",0.0278721023621127
