"","Var1","V2","Species"
"1","USFS Southwestern Region",1,"Allium gooddingii"
"2","USFWS Southwest Region",2,"Allium gooddingii, Sceloporus arenicolus"
"3","Center of Excellence for Hazardous Materials Management",2,"Sceloporus arenicolus"
"4","Texas A&M University",2,"Sceloporus arenicolus"
"5","Texas Comptroller of Public Accounts",2,"Sceloporus arenicolus"
"6","Texas Interagency Task Force on Economic Growth and Endangered Species",2,"Sceloporus arenicolus"
"7","Texas Department of Agriculture",2,"Sceloporus arenicolus"
"8","Texas Parks and Wildlife Department",2,"Sceloporus arenicolus"
"9","Railroad Commission of Texas",2,"Sceloporus arenicolus"
"10","University of Texas System - University Lands",2,"Sceloporus arenicolus"
"11","Texas Farm Bureau",2,"Sceloporus arenicolus"
"12","Texas Oil and Gas Association",2,"Sceloporus arenicolus"
"13","Texas Royalty Council",2,"Sceloporus arenicolus"
"14","Texas and Southwestern Cattle Raisers Association",2,"Sceloporus arenicolus"
"15","Texas Wildlife Association",2,"Sceloporus arenicolus"
"16","Texas Association of Business",2,"Sceloporus arenicolus"
"17","BLM",3,"Astragalus cusickii var. packardiae, Opuntia X multigeniculata, Phacelia stellaris, Astragalus oophorus clokeyanus, Sceloporus arenicolus, Pyrgulopsis notidicola, Astragalus anserinus, Pediocactus paradinei, Clarkia lingulata, Oncorhynchus clarkii virginalis, Lepidium papilliferum, Potentilla basaltica, Calochortus umpquaensis, Urocitellus washingtoni"
"18","California Department of Forestry and Fire Protection",3,"Phacelia stellaris"
"19","California Department of Parks and Recreation",3,"Phacelia stellaris, Rorippa subumbellata"
"20","Center for Natural Lands Management",3,"Phacelia stellaris, Hazardia orcuttii"
"21","City of Riverside Park and Recreation Department",3,"Phacelia stellaris"
"22","Metropolitan Water District",3,"Phacelia stellaris"
"23","Riverside County Environmental Programs Department",3,"Phacelia stellaris"
"24","Riverside County Habitat Conservation Agency",3,"Phacelia stellaris"
"25","Riverside County Regional Park and Open-Space District",3,"Phacelia stellaris"
"26","Riverside Land Conservancy",3,"Phacelia stellaris"
"27","San Diego State University Field Stations Program",3,"Phacelia stellaris"
"28","The Nature Conservancy",3,"Phacelia stellaris, Pyrgulopsis notidicola, Symphyotrichum georgianum, Urocitellus washingtoni"
"29","University of California Riverside",3,"Phacelia stellaris"
"30","USFWS Carlsbad Fish and Wildlife Office",3,"Phacelia stellaris"
"31","USFS",3,"Phacelia stellaris, Astragalus oophorus clokeyanus, Symphyotrichum georgianum, Pediocactus paradinei, Clarkia lingulata, Oncorhynchus clarkii virginalis, Rorippa subumbellata"
"32","US Navy",3,"Phacelia stellaris"
"33","US Marine Corps",3,"Phacelia stellaris"
"34","US Customs and Border Protection",3,"Phacelia stellaris"
"35","Nevada Department of Conservation and Natural Resources",3,"Astragalus oophorus clokeyanus"
"36","Clark County",3,"Astragalus oophorus clokeyanus"
"37","NPS",3,"Astragalus oophorus clokeyanus, Pyrgulopsis notidicola, Symphyotrichum georgianum, Astragalus anserinus, Pyrgulopsis morrisoni, Oncorhynchus clarkii virginalis, Pseudanophthalmus inexpectatus"
"38","Nevada Department of Wildlife",3,"Astragalus oophorus clokeyanus, Pyrgulopsis notidicola, Lithobates onca"
"39","Nevada Department of Transportation",3,"Astragalus oophorus clokeyanus"
"40","U.S. Air Force",3,"Astragalus oophorus clokeyanus"
"41","Clemson University",3,"Symphyotrichum georgianum, Astragalus anserinus"
"42","Georgia Department of Natural Resources",3,"Symphyotrichum georgianum, Astragalus anserinus, Moxostoma sp 2"
"43","Georgia Department of Transportation",3,"Symphyotrichum georgianum, Astragalus anserinus"
"44","Georgia Power",3,"Symphyotrichum georgianum, Astragalus anserinus"
"45","Mecklenburg County Park and Recreation North Carolina",3,"Symphyotrichum georgianum, Astragalus anserinus"
"46","North Carolina Department of Agriculture & Consumer Services Plant Conservation Program",3,"Symphyotrichum georgianum, Astragalus anserinus"
"47","Alabama Natural Heritage Program",3,"Symphyotrichum georgianum"
"48","Georgia Natural Heritage Program",3,"Symphyotrichum georgianum"
"49","North Carolina Natural Heritage Program",3,"Symphyotrichum georgianum"
"50","South Carolina Natural Heritage Program",3,"Symphyotrichum georgianum"
"51","Atlanta Botanical Garden",3,"Symphyotrichum georgianum"
"52","North Carolina Botanical Garden",3,"Symphyotrichum georgianum"
"53","State Botanical Garden of Georgia",3,"Symphyotrichum georgianum"
"54","The Citadel",3,"Symphyotrichum georgianum"
"55","Colorado Parks and Wildlife",3,"Oncorhynchus clarkii virginalis"
"56","New Mexico Department of Game and Fish",3,"Oncorhynchus clarkii virginalis"
"57","USFWS Albuquerque New Mexico Ecological Services Field Office",3,"Oncorhynchus clarkii virginalis"
"58","Mescalero Apache Nation",3,"Oncorhynchus clarkii virginalis"
"59","Jicarilla Apache Nation",3,"Oncorhynchus clarkii virginalis"
"60","Taos Pueblo",3,"Oncorhynchus clarkii virginalis"
"61","Trout Unlimited",3,"Oncorhynchus clarkii virginalis"
"62","Vermejo Park Ranch",3,"Oncorhynchus clarkii virginalis"
"63","California State Parks",3,"Phacelia stellaris"
"64","Boulder City",3,"Astragalus oophorus clokeyanus"
"65","Army Corps of Engineers",3,"Symphyotrichum georgianum"
"66","Colorado Division of Parks and Wildlife",3,"Oncorhynchus clarkii virginalis"
"67","Montana Department of Fish Wildlife and Parks",4,"Thymallus arcticus"
"68","BLM Dillon Field Office",4,"Thymallus arcticus"
"69","Montana Department of Natural Resources and Conservation",4,"Thymallus arcticus"
"70","Beaverhead County",4,"Thymallus arcticus"
"71","Madison County",4,"Thymallus arcticus"
"72","USFWS",5,"Thymallus arcticus, Astragalus oophorus clokeyanus, Nerodia erythrogaster neglecta, Pyrgulopsis notidicola, Symphyotrichum georgianum, Astragalus anserinus, Penstemon grahamii, Pseudanophthalmus pholeter, Pediocactus paradinei, Pseudanophthalmus catorycetes, Sylvilagus transitionalis, Hazardia orcuttii, Dudleya blochmaniae brevifolia, Moxostoma sp 2, Potentilla basaltica, Urocitellus endemicus, Pseudanophthalmus inexpectatus, Rorippa subumbellata, Calochortus umpquaensis, Urocitellus washingtoni"
"73","NRCS",5,"Thymallus arcticus, Pseudanophthalmus major, Sceloporus arenicolus, Sylvilagus transitionalis, Urocitellus washingtoni"
"74","USGS",5,"Sylvilagus transitionalis, Pyrgulopsis morrisoni, Penstemon scariosus albifluvis"
"75","Mashpee Wampanoag Tribe",5,"Sylvilagus transitionalis"
"76","Lyme Land Conservation Trust",5,"Sylvilagus transitionalis"
"77","American Forest Foundation",5,"Sylvilagus transitionalis"
"78","Woodcock Limited",5,"Sylvilagus transitionalis"
"79","WCS Queens Zoo",5,"Sylvilagus transitionalis"
"80","Wells National Esturarine Research Reserve",5,"Sylvilagus transitionalis"
"81","Roger Williams Park Zoo",5,"Sylvilagus transitionalis"
"82","Audubon Connecticut",5,"Sylvilagus transitionalis"
"83","Connecticut Audubon Society",5,"Sylvilagus transitionalis"
"84","Open Space Institute",5,"Sylvilagus transitionalis"
"85","Audubon New York",5,"Sylvilagus transitionalis"
"86","Quail Forever",5,"Sylvilagus transitionalis"
"87","Pheasants Forever",5,"Sylvilagus transitionalis"
"88","Doris Duke Charitable Foundation",5,"Sylvilagus transitionalis"
"89","Wildlife Conservation Society",5,"Sylvilagus transitionalis"
"90","Amrican Bird Conservancy",5,"Sylvilagus transitionalis"
"91","Quality Deer Management Association",5,"Sylvilagus transitionalis"
"92","Sustainable Forestry Initiative",5,"Sylvilagus transitionalis"
"93","White Memorial Foundation",5,"Sylvilagus transitionalis"
"94","National Fish and Wildlife Foundation",5,"Sylvilagus transitionalis"
"95","Ruffed Grouse Society/American Woodcock Society",5,"Sylvilagus transitionalis"
"96","National Wild Turkey Federation",5,"Sylvilagus transitionalis"
"97","Wildlife Management Institute",5,"Sylvilagus transitionalis"
"98","New Engalnd Cottontail Conservation Initiative",5,"Sylvilagus transitionalis"
"99","Northeast Forest and Fire Management",5,"Sylvilagus transitionalis"
"100","Lyme Timber Company",5,"Sylvilagus transitionalis"
"101","Monterey Preservation Land Trust",5,"Sylvilagus transitionalis"
"102","Narrow River Land Trust",5,"Sylvilagus transitionalis"
"103","Nantucket Conservation Foundation",5,"Sylvilagus transitionalis"
"104","Scarborough Land Trust",5,"Sylvilagus transitionalis"
"105","Avalonia Land Conservancy",5,"Sylvilagus transitionalis"
"106","Orenda Wildlife Land Trust",5,"Sylvilagus transitionalis"
"107","Trustees of Reservations",5,"Sylvilagus transitionalis"
"108","Berkshire Natural Resources Council",5,"Sylvilagus transitionalis"
"109","York Land Trust",5,"Sylvilagus transitionalis"
"110","Becket Land Trust",5,"Sylvilagus transitionalis"
"111","Trust for Public Land",5,"Sylvilagus transitionalis"
"112","Massachusetts National Guard",5,"Sylvilagus transitionalis"
"113","New York Division of Fish Wildlife and Marine Resources",5,"Sylvilagus transitionalis"
"114","Northeast Association of Fish and Wildlife Agencies",5,"Sylvilagus transitionalis"
"115","Rhode Island Division of Fish and Wildlife",5,"Sylvilagus transitionalis"
"116","Connecticute Department of Energy and Environmental Protection",5,"Sylvilagus transitionalis"
"117","Massachusetts Division of Fisheries and Wildlife",5,"Sylvilagus transitionalis"
"118","New Hampshire Fish and Game Department",5,"Sylvilagus transitionalis"
"119","Maine Department of Inland Fisheries and Wildlife",5,"Sylvilagus transitionalis"
"120","University of Rhode Island College of Envionment and Life Sciences",5,"Sylvilagus transitionalis"
"121","University of New Hampshire",5,"Sylvilagus transitionalis"
"122","University of New Hampshire Cooperative Extenson",5,"Sylvilagus transitionalis"
"123","EDF",5,"Sylvilagus transitionalis"
"124","USFS Coconino National Forest",6,"Cimicifuga arizonica"
"125","USFS Kaibab National Forest",6,"Cimicifuga arizonica"
"126","USFS Tonto National Forest",6,"Cimicifuga arizonica"
"127","UFWS Service Arizona Ecological Services Field Office",6,"Cimicifuga arizonica"
"128","USFWS Oregon State Office",7,"Lupinus aridus ssp. ashlandensis, Horkelia hendersonii"
"129","USFS Rouge River NF",7,"Lupinus aridus ssp. ashlandensis"
"130","USFS Klamath National Forest",7,"Lupinus aridus ssp. ashlandensis"
"131","USFS Scott River and Oak Knoll Ranger Districts",7,"Lupinus aridus ssp. ashlandensis"
"132","Oregon Plant Conservation Program",7,"Lupinus aridus ssp. ashlandensis, Horkelia hendersonii"
"133","Oregon Natural Heritage Program",7,"Lupinus aridus ssp. ashlandensis, Horkelia hendersonii"
"134","USFS Rouge River National Forest",7,"Horkelia hendersonii"
"135","USFS Nalamath National Forest",7,"Horkelia hendersonii"
"136","Kentucky Ecological Services Field Office",8,"Pseudanophthalmus major"
"137","Owner of the Beaver Cave property",8,"Pseudanophthalmus major"
"138","Kentucky Department of Fish and Wildlife Resources",8,"Pseudanophthalmus major, Nerodia erythrogaster neglecta"
"139","Kentucky State Nature Preserves Commission",8,"Pseudanophthalmus major"
"140","Illinois Department of Natural Resources",8,"Nerodia erythrogaster neglecta"
"141","Indiana Department of Natural Resources",8,"Nerodia erythrogaster neglecta"
"142","Kentucky Coal Association",8,"Nerodia erythrogaster neglecta"
"143","Kentucky Coal Country Association",8,"Nerodia erythrogaster neglecta"
"144","Kentucky Farm Bureau",8,"Nerodia erythrogaster neglecta"
"145","Kentucky Natural Resources and Environmental Cabinet",8,"Nerodia erythrogaster neglecta"
"146","Western Kentucky Coal Association",8,"Nerodia erythrogaster neglecta"
"147","Kentucky Division of Forestry",8,"Pseudanophthalmus major"
"148","Office of Surface Mining Reclamation and Enforcement",8,"Nerodia erythrogaster neglecta"
"149","Farm Service Agency",9,"Pseudanophthalmus major, Urocitellus washingtoni"
"150","Foster Creek Conservation District",9,"Urocitellus washingtoni"
"151","Threemile Canyon Farms",9,"Urocitellus washingtoni"
"152","Portland General Electric",9,"Urocitellus washingtoni"
"153","Washington State Department of Fish and Wildlife",9,"Urocitellus washingtoni"
"154","Washington State Department of Natural Resources",9,"Urocitellus washingtoni"
"155","South Douglas Conservation District",9,"Urocitellus washingtoni"
"156","agricultural landowners and other stakeholders",9,"Urocitellus washingtoni"
"157","California Department of Fish and Game",10,"Phacelia stellaris, Gila bicolor vaccaceps, Phrynosoma mcallii, Oncorhynchus mykiss ssp., Hazardia orcuttii, Dudleya blochmaniae brevifolia"
"158","private landowners of Cow Head Lake Cow Head Slough and California reach of Barrel Creek (four owners all CA signatories)",10,"Gila bicolor vaccaceps"
"159","principal permittees on BLM lands within the drainage",10,"Gila bicolor vaccaceps"
"160","California and Modoc County Cattlemen's Associations",10,"Gila bicolor vaccaceps"
"161","the California Farm Bureau Federation",10,"Gila bicolor vaccaceps"
"162","California Department of Parks and Recreation Anza Borrego Desert State Park",10,"Phrynosoma mcallii"
"163","BLM El Centro",10,"Phrynosoma mcallii"
"164","BLM Palm Springs",10,"Phrynosoma mcallii"
"165","BLM Yuma District",10,"Phrynosoma mcallii"
"166","BLM California Desert District",10,"Phrynosoma mcallii"
"167","Bureau of Reclamation Yuma",10,"Phrynosoma mcallii"
"168","USFWS Carlsbad Field Office",10,"Phrynosoma mcallii"
"169","USFWS Phoenix Field Office",10,"Phrynosoma mcallii"
"170","US Marine Corps Air Station Yuma",10,"Phrynosoma mcallii"
"171","US Naval Air Facility-El Centro",10,"Phrynosoma mcallii"
"172","US Navy SW Division San Diego",10,"Phrynosoma mcallii"
"173","Arizona Game and Fish",10,"Phrynosoma mcallii"
"174","California Department of Parks and Recreation Off-Highway Motor Vehicle Division Ocotillo Wells State Recreational Vehicle Area",10,"Phrynosoma mcallii"
"175","Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado",10,"Phrynosoma mcallii"
"176","Reserva de la Biosfera el Pinacate y Gran Desierto de Altar",10,"Phrynosoma mcallii"
"177","USFWS Sacramento Fish and Wildlife office",10,"Oncorhynchus mykiss ssp."
"178","USFS Shasta Trinity National Forest",10,"Oncorhynchus mykiss ssp."
"179","John Hancock Mutual Life Insurace Company",10,"Oncorhynchus mykiss ssp."
"180","Bob McIntsh (Private landowner)",10,"Oncorhynchus mykiss ssp."
"181","Sierra Pacific Industries",10,"Oncorhynchus mykiss ssp."
"182","Hearest Corporation",10,"Oncorhynchus mykiss ssp."
"183","BLM Surprise Field Office",10,"Gila bicolor vaccaceps"
"184","several ICC agencies",10,"Phrynosoma mcallii"
"185","Siskiyou County Board of Supervisors",10,"Oncorhynchus mykiss ssp."
