"","Var1","V2","Species"
"1","Clemson University",1,"Symphyotrichum georgianum, Astragalus anserinus"
"2","Georgia Department of Natural Resources",1,"Symphyotrichum georgianum, Astragalus anserinus, Moxostoma sp 2"
"3","Georgia Department of Transportation",1,"Symphyotrichum georgianum, Astragalus anserinus"
"4","Georgia Power",1,"Symphyotrichum georgianum, Astragalus anserinus"
"5","Mecklenburg County Park and Recreation North Carolina",1,"Symphyotrichum georgianum, Astragalus anserinus"
"6","North Carolina Department of Agriculture & Consumer Services Plant Conservation Program",1,"Symphyotrichum georgianum, Astragalus anserinus"
"7","Alabama Natural Heritage Program",1,"Symphyotrichum georgianum"
"8","Georgia Natural Heritage Program",1,"Symphyotrichum georgianum"
"9","North Carolina Natural Heritage Program",1,"Symphyotrichum georgianum"
"10","South Carolina Natural Heritage Program",1,"Symphyotrichum georgianum"
"11","Atlanta Botanical Garden",1,"Symphyotrichum georgianum"
"12","North Carolina Botanical Garden",1,"Symphyotrichum georgianum"
"13","State Botanical Garden of Georgia",1,"Symphyotrichum georgianum"
"14","The Citadel",1,"Symphyotrichum georgianum"
"15","North Carolina Wildlife Resources Commission",1,"Moxostoma sp 2"
"16","Duke Energy Carolinas",1,"Moxostoma sp 2"
"17","Eastern Band of Cherokee Indians",1,"Moxostoma sp 2"
"18","Army Corps of Engineers",1,"Symphyotrichum georgianum"
"19","Tennessee Valley Authority",1,"Moxostoma sp 2"
"20","BLM",2,"Astragalus cusickii var. packardiae, Opuntia X multigeniculata, Phacelia stellaris, Astragalus oophorus clokeyanus, Sceloporus arenicolus, Pyrgulopsis notidicola, Astragalus anserinus, Pediocactus paradinei, Clarkia lingulata, Oncorhynchus clarkii virginalis, Lepidium papilliferum, Potentilla basaltica, Calochortus umpquaensis, Urocitellus washingtoni"
"21","California Department of Fish and Game",2,"Phacelia stellaris, Gila bicolor vaccaceps, Phrynosoma mcallii, Oncorhynchus mykiss ssp., Hazardia orcuttii, Dudleya blochmaniae brevifolia"
"22","California Department of Forestry and Fire Protection",2,"Phacelia stellaris"
"23","California Department of Parks and Recreation",2,"Phacelia stellaris, Rorippa subumbellata"
"24","Center for Natural Lands Management",2,"Phacelia stellaris, Hazardia orcuttii"
"25","City of Riverside Park and Recreation Department",2,"Phacelia stellaris"
"26","Metropolitan Water District",2,"Phacelia stellaris"
"27","Riverside County Environmental Programs Department",2,"Phacelia stellaris"
"28","Riverside County Habitat Conservation Agency",2,"Phacelia stellaris"
"29","Riverside County Regional Park and Open-Space District",2,"Phacelia stellaris"
"30","Riverside Land Conservancy",2,"Phacelia stellaris"
"31","San Diego State University Field Stations Program",2,"Phacelia stellaris"
"32","The Nature Conservancy",2,"Phacelia stellaris, Pyrgulopsis notidicola, Symphyotrichum georgianum, Urocitellus washingtoni"
"33","University of California Riverside",2,"Phacelia stellaris"
"34","USFWS Carlsbad Fish and Wildlife Office",2,"Phacelia stellaris"
"35","USFS",2,"Phacelia stellaris, Astragalus oophorus clokeyanus, Symphyotrichum georgianum, Pediocactus paradinei, Clarkia lingulata, Oncorhynchus clarkii virginalis, Rorippa subumbellata"
"36","US Navy",2,"Phacelia stellaris"
"37","US Marine Corps",2,"Phacelia stellaris"
"38","US Customs and Border Protection",2,"Phacelia stellaris"
"39","Nevada Department of Conservation and Natural Resources",2,"Astragalus oophorus clokeyanus"
"40","Clark County",2,"Astragalus oophorus clokeyanus"
"41","NPS",2,"Astragalus oophorus clokeyanus, Pyrgulopsis notidicola, Symphyotrichum georgianum, Astragalus anserinus, Pyrgulopsis morrisoni, Oncorhynchus clarkii virginalis, Pseudanophthalmus inexpectatus"
"42","Nevada Department of Wildlife",2,"Astragalus oophorus clokeyanus, Pyrgulopsis notidicola, Lithobates onca"
"43","Nevada Department of Transportation",2,"Astragalus oophorus clokeyanus"
"44","Nevada Division of State Parks",2,"Astragalus oophorus clokeyanus, Rorippa subumbellata"
"45","U.S. Air Force",2,"Astragalus oophorus clokeyanus"
"46","Nevada Natural Heritage Program",2,"Pyrgulopsis notidicola, Rorippa subumbellata"
"47","California Department of Transportation (caltrans)",2,"Clarkia lingulata"
"48","California Department of Fish and Wildlife",2,"Clarkia lingulata, Chorizanthe parryi var fernandina, Rorippa subumbellata"
"49","Desert Research Institute",2,"Pyrgulopsis notidicola, Ambrysus funebris"
"50","City of NCCP",2,"Hazardia orcuttii"
"51","City of Carlsbad",2,"Hazardia orcuttii"
"52","City of San Marcos",2,"Hazardia orcuttii"
"53","California State Lands Commission",2,"Rorippa subumbellata"
"54","California Tahoe Conservancy",2,"Rorippa subumbellata"
"55","League to Save Lake Tahoe",2,"Rorippa subumbellata"
"56","Nevada Division of Forestry",2,"Rorippa subumbellata"
"57","Nevada Division of State Lands",2,"Rorippa subumbellata"
"58","Tahoe Lakefront Owners's Association",2,"Rorippa subumbellata"
"59","California State Parks",2,"Phacelia stellaris"
"60","Boulder City",2,"Astragalus oophorus clokeyanus"
"61","Pacific Gas and Electric",2,"Clarkia lingulata"
"62","California Resources Agency",2,"Hazardia orcuttii"
"63","San Diego Gas and Electric Company",2,"Dudleya blochmaniae brevifolia"
"64","Nevada Division of Wildlife",2,"Potentilla basaltica"
"65","Tahoe Regional Planning Agency",2,"Rorippa subumbellata"
"66","USDA",2,"Calochortus umpquaensis"
"67","Kentucky Ecological Services Field Office",3,"Pseudanophthalmus major"
"68","Owner of the Beaver Cave property",3,"Pseudanophthalmus major"
"69","Farm Service Agency",3,"Pseudanophthalmus major, Urocitellus washingtoni"
"70","Kentucky State Nature Preserves Commission",3,"Pseudanophthalmus major"
"71","Foster Creek Conservation District",3,"Urocitellus washingtoni"
"72","Threemile Canyon Farms",3,"Urocitellus washingtoni"
"73","Portland General Electric",3,"Urocitellus washingtoni"
"74","Washington State Department of Fish and Wildlife",3,"Urocitellus washingtoni"
"75","Washington State Department of Natural Resources",3,"Urocitellus washingtoni"
"76","South Douglas Conservation District",3,"Urocitellus washingtoni"
"77","Kentucky Division of Forestry",3,"Pseudanophthalmus major"
"78","agricultural landowners and other stakeholders",3,"Urocitellus washingtoni"
"79","USFS Southwestern Region",4,"Allium gooddingii"
"80","USFWS Southwest Region",4,"Allium gooddingii, Sceloporus arenicolus"
"81","Center of Excellence for Hazardous Materials Management",4,"Sceloporus arenicolus"
"82","Texas A&M University",4,"Sceloporus arenicolus"
"83","Texas Comptroller of Public Accounts",4,"Sceloporus arenicolus"
"84","Texas Interagency Task Force on Economic Growth and Endangered Species",4,"Sceloporus arenicolus"
"85","Texas Department of Agriculture",4,"Sceloporus arenicolus"
"86","Texas Parks and Wildlife Department",4,"Sceloporus arenicolus"
"87","Railroad Commission of Texas",4,"Sceloporus arenicolus"
"88","University of Texas System - University Lands",4,"Sceloporus arenicolus"
"89","Texas Farm Bureau",4,"Sceloporus arenicolus"
"90","Texas Oil and Gas Association",4,"Sceloporus arenicolus"
"91","Texas Royalty Council",4,"Sceloporus arenicolus"
"92","Texas and Southwestern Cattle Raisers Association",4,"Sceloporus arenicolus"
"93","Texas Wildlife Association",4,"Sceloporus arenicolus"
"94","Texas Association of Business",4,"Sceloporus arenicolus"
"95","Office of Species Conservation",5,"Lepidium papilliferum"
"96","Idaho Department of Fish and Game",5,"Lepidium papilliferum, Urocitellus endemicus"
"97","Idaho Department of Lands",5,"Lepidium papilliferum"
"98","Idaho Army National Guard",5,"Lepidium papilliferum"
"99","Nongovernmental Cooperator Representative",5,"Lepidium papilliferum"
"100","Idaho Governor's Office of Species Conservation",5,"Urocitellus endemicus"
"101","US Air Force",5,"Lepidium papilliferum"
"102","Soulen Livestock Company Inc. (Soulen Livestock)",5,"Urocitellus endemicus"
